orcid,orcidFam,orcidGiven,eraCreator,resource
0000-0002-8147-9847,Li,Jiaying,"Li, Jiaying",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/41/68/7m/38/41687m38s
0000-0002-0699-1998,Fang,Fang,"Fang, Fang",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cr/20/7t/p3/cr207tp38d
0000-0001-7362-068X,Nurullah,Abu Sadat,"Nurullah, Abu Sadat",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sj/13/93/04/sj139304p
0000-0003-0589-6267,Zhang,Jian,"Zhang, Jian",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/80/49/g5/94/8049g594n
0000-0001-6071-269X,Caliaperumal,Jayalakshmi,"Caliaperumal, Jayalakshmi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9w/03/23/71/9w032371f
0000-0003-1635-931X,Kazemi,Sina,"Kazemi, Sina",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gx/41/mm/44/gx41mm44s
0000-0002-2679-8335,Hooshiar Fard,Mohammad Ali,"Hooshiar Fard, Mohammad Ali",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ft/84/8r/44/ft848r44g
0000-0001-5453-1753,Shi,Wei,"Shi, Wei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/00/00/01/c00000016h
0000-0003-2418-4310,Pant,Asha,"Pant, Asha",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qj/72/p8/51/qj72p851d
0000-0002-7274-2631,Li,Yan,"Li, Yan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w0/89/2b/00/w0892b00c
,Li,Yan,"Li, Yan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cj/67/31/38/cj6731386k
0000-0002-7660-8050,Ahad,Nuvaid,"Ahad, Nuvaid",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/75/26/c4/cs7526c47w
0000-0002-4290-0387,Mansour,Mohamed,"Mansour, Mohamed",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3r/07/4v/75/3r074v75h
