Column 1	ID	Column 2	Column 3
Canada. Ministry of the Solicitor General. Programs Branch.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.
Mintz, Morton	12838687	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Mintz,%20Morton.
Bü̈hler, Karl, 1879-1963	100181212	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Polański,%20Kazimierz,%201929-
Bémová, Alla	65494905	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bémová,%20Alla.
Johnson, Daniel M. (Daniel Morgan), 1945-	94401101	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Johnson,%20Daniel%20M.%20(Daniel%20Morgan),%201945-
Alberta Research Council. Atmospheric Sciences Department.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta%20Research%20Council.%20Atmospheric%20Sciences %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Department.
Wilde, Oscar, 1854-1900.	34464414	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Beardsley,%20Aubrey,%201872-1898.
Italy. Soprintendenza speciale alla Galleria nazionale d'arte moderna e contemporanea.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Italy.%20Soprintendenza%20speciale%20alla%20Galleria%20nazionale%20d'arte %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20moderna%20e%20contemporanea.
Gill, Eric, 1882-1940	36934216	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Victoria%20and%20Albert%20Museum.
Bragg, William Lawrence, sir, 1890-1971	49306596	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Council.
Abercrombie, Patrick, 1879-1957	108570703	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Watson,%20Leslie.
Dallwitz, M. J.	48257155	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dallwitz,%20M.%20J.
Landau, Jacob M., 1924-	15877499	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hamilton,%20Michael%20M.
Crandell, W. Dean	6597171	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Crandell,%20W.%20Dean.
O'Neill, Timothy J.	88883138	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22O'Neill,%20Timothy%20J.
Pears, Nigel.	56672288	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Pears,%20Nigel.
Hahn, Emily, 1905-1997	109635263	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akenson,%20Donald%20H.
Adamo Muscettola, Stefania	51853728	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adamo%20Muscettola,%20Stefania.
Balasco, Alfredo	64317043	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Balasco,%20Alfredo.
