Column 1	LC-ID	Column 2	Column 3	LC-ID1	Column 4	blank
Magnificent voyagers : the U.S. exploring expedition, 1838-1842 /		Viola, Herman J.	Viola, Herman J. | Magnificent voyagers : the U.S. exploring expedition, 1838-1842 /		http://example.org/1372172#Work	
Mahler-Interpretation : Aspekte zum Werk und Wirken von Gustav Mahler /		Stephan, Rudolf.	Stephan, Rudolf. | Mahler-Interpretation : Aspekte zum Werk und Wirken von Gustav Mahler /		http://example.org/1323285#Work	
Malysh /		Strugat͡skiĭ, Arkadiĭ Natanovich.	Strugat͡skiĭ, Arkadiĭ Natanovich. | Malysh /		http://example.org/1346422#Work	
Management and planning issues in the use of microcomputers in schools /		Lancaster, David.	Lancaster, David. | Management and planning issues in the use of microcomputers in schools /		http://example.org/1297397#Work	
Occasional paper in educational planning, management, and statistics	n86726677	Lancaster, David.	Lancaster, David. | Occasional paper in educational planning, management, and statistics. ;		http://example.org/1297397#Work830-26	
Management of information systems casebook /		Dickson, Gary W.	Dickson, Gary W. | Management of information systems casebook /		http://example.org/1393373#Work	
McGraw-Hill series in management information systems	n42016140	Dickson, Gary W.	Dickson, Gary W. | McGraw-Hill series in management information systems.		http://example.org/1393373#Work830-28	
Management strategies for libraries : a basic reader /		Lynch, Beverly P.	Lynch, Beverly P. | Management strategies for libraries : a basic reader /		http://example.org/1342682#Work	
Maps of the Soviet Union at the University of Chicago Map Collection /		Winters, Christopher, 1944-	Winters, Christopher, 1944- | Maps of the Soviet Union at the University of Chicago Map Collection /		http://example.org/1312002#Work	
Mariĭskoe narodnoe iskusstvo = Mariĭ kalyk iskusstvo /		Medzhitova, Ė. D. (Ėlʹmira Dzhevatovna)	Medzhitova, Ė. D. (Ėlʹmira Dzhevatovna) | Mariĭskoe narodnoe iskusstvo = Mariĭ kalyk iskusstvo /		http://example.org/1351947#Work	
Mariĭ kalyk iskusstvo.			 | Mariĭ kalyk iskusstvo.		http://example.org/1351947#Work740-24	
Material culture of the peoples of Siberia and the north.			 | Material culture of the peoples of Siberia and the north.		http://example.org/1369638#Work	
Mathematics and the search for knowledge /		Kline, Morris, 1908-1992.	Kline, Morris, 1908-1992. | Mathematics and the search for knowledge /		http://example.org/1337574#Work	
Mathematics for a modern world, book 3 /		Carli, E. G.	Carli, E. G. | Mathematics for a modern world, book 3 /		http://example.org/1340717#Work	
MMW 3.			 | MMW 3.		http://example.org/1340717#Work740-29	
Medieval households /		Herlihy, David.	Herlihy, David. | Medieval households /		http://example.org/1342227#Work	
Routledge studies in cultural history	no2001047941	Herlihy, David.	Herlihy, David. | Studies in cultural history.		http://example.org/1342227#Work830-30	
Medieval villages : a review of current work /		Hooke, Della.	Hooke, Della. | Medieval villages : a review of current work /		http://example.org/1398280#Work	
Monograph (University of Oxford. Committee for Archaeology) ;		Hooke, Della.	Hooke, Della. | Monograph (University of Oxford. Committee for Archaeology) ;		http://example.org/1398280#Work830-25	
Meditación en el umbral : antología poética /		Castellanos, Rosario.	Castellanos, Rosario. | Meditación en el umbral : antología poética /		http://example.org/1001086#Work	
Memory and memory measurement in old age : memory structure, context and metamemory /		Johansson, Boo.	Johansson, Boo. | Memory and memory measurement in old age : memory structure, context and metamemory /		http://example.org/1002380#Work	
Messa solenne, G major Latin		Cherubini, Luigi, 1760-1842.	Cherubini, Luigi, 1760-1842. | Messa solenne, G major Latin		http://example.org/1324887#Work	
Metamorphoses. Book 1-4. English &amp; Latin		Ovid, 43 B.C.-17 A.D. or 18 A.D.	Ovid, 43 B.C.-17 A.D. or 18 A.D. | Metamorphoses. Book 1-4. English &amp; Latin		http://example.org/1390253#Work	
Metamorphoses 1-4.			 | Metamorphoses 1-4.		http://example.org/1390253#Work740-30	
Metamorphoses one-four.			 | Metamorphoses one-four.		http://example.org/1390253#Work740-31	
Classical texts.		Ovid, 43 B.C.-17 A.D. or 18 A.D.	Ovid, 43 B.C.-17 A.D. or 18 A.D. | Ars amatoria. Liber 3. | Latin | (Gibson)	no2015036964	http://example.org/1390253#Work830-32	
Methane production from organic wastes.		National Research Council Canada.	National Research Council Canada. | Methane production from organic wastes.		http://example.org/1371765#Work	
Facts on bioenergy		National Research Council Canada.	National Research Council Canada. | Facts on bioenergy		http://example.org/1371765#Work830-23	
Metodika paleogeo-morfologicheskikh issledovaniı̆ neftegazonosnykh oblasteı̆ SSSR /		Zolotov, A. N.	Zolotov, A. N. | Metodika paleogeo-morfologicheskikh issledovaniı̆ neftegazonosnykh oblasteı̆ SSSR /		http://example.org/1318879#Work	
Trudy (Vsesoi͡uznyĭ nauchno-issledovatelʹskiĭ geologorazvedochnyĭ nefti͡anoĭ institut (Soviet Union)) ;		Zolotov, A. N.	Zolotov, A. N. | Trudy (Vsesoi͡uznyĭ nauchno-issledovatelʹskiĭ geologorazvedochnyĭ nefti͡anoĭ institut (Soviet Union)) ;		http://example.org/1318879#Work830-24	
Microeconomics : selected readings /		Mansfield, Edwin.	Mansfield, Edwin. | Microeconomics : selected readings /		http://example.org/1312868#Work	
Migration projection of registered Indians, 1982 to 1996 /		Norris, M. J.	Norris, M. J. | Migration projection of registered Indians, 1982 to 1996 /		http://example.org/1297108#Work	
Mina Forsyth : flowers and heads /		Arnold, Grant.	Arnold, Grant. | Mina Forsyth : flowers and heads /		http://example.org/1405453#Work	
Mineralogy, morphology and dynamics of salts in agricultural soils in Saskatchewan.		Mermut, A. R.	Mermut, A. R. | Mineralogy, morphology and dynamics of salts in agricultural soils in Saskatchewan.		http://example.org/1370835#Work	
Origin and nature of salts in Saskatchewan.			 | Origin and nature of salts in Saskatchewan.		http://example.org/1370835#Work740-27	
Liber missarum. Missa pro defunctis. Latin		Lobo, Duarte, 1565-1646.	Lobo, Duarte, 1565-1646. | Liber missarum. Missa pro defunctis. Latin		http://example.org/1328340#Work	
Mapa Mundi (Series). Series A, Portuguese and Spanish church music		Lobo, Duarte, 1565-1646.	Lobo, Duarte, 1565-1646. | Mapa Mundi (Series). Series A, Portuguese and Spanish church music		http://example.org/1328340#Work830-20	
Masses, D minor (1811) Vocal score. Latin		Cherubini, Luigi, 1760-1842.	Cherubini, Luigi, 1760-1842. | Masses, D minor (1811) Vocal score. Latin		http://example.org/1337500#Work	
Modern social theory /		Belok, Michael.	Belok, Michael. | Modern social theory /		http://example.org/1328252#Work	
Moisture and humidity, 1985 : measurement and control in science and industry : proceedings of the 1985 International Symposium on Moisture and Humidity, Washington, D.C., April 15-18, 1985 /		International Symposium on Moisture and Humidity (1985 : Washington, D.C.)	International Symposium on Moisture and Humidity (1985 : Washington, D.C.) | Moisture and humidity, 1985 : measurement and control in science and industry : proceedings of the 1985 International Symposium on Moisture and Humidity, Washington, D.C., April 15-18, 1985 /		http://example.org/1002435#Work	
Montréal postmoderne		Parent, Marie-Danielle.	Parent, Marie-Danielle. | Montréal postmoderne		http://example.org/1312131#Work	
Voix intimes.		Gougeon, Denis, 1951-	Gougeon, Denis, 1951- | Voix intimes.		http://example.org/1312131#Work700-43	
Treppenmusik.		Rea, John, 1944-	Rea, John, 1944- | Treppenmusik.		http://example.org/1312131#Work700-44	
Pieces, violin, clarinet.		Vivier, Claude, 1948-1983.	Vivier, Claude, 1948-1983. | Pieces, violin, clarinet.		http://example.org/1312131#Work700-45	
Clos de vie.		Evangelista, José, 1943-	Evangelista, José, 1943- | Clos de vie.		http://example.org/1312131#Work700-46	
Morfologicheskie issledovanii͡a zhivotnykh /		Gili͡arov, M. S.	Gili͡arov, M. S. | Morfologicheskie issledovanii͡a zhivotnykh /		http://example.org/1321112#Work	
Mortality projections of registered Indians, 1982 to 1996 /		Rowe, G.	Rowe, G. | Mortality projections of registered Indians, 1982 to 1996 /		http://example.org/1295882#Work	
Motets. Selections		Josquin, des Prez, -1521.	Josquin, des Prez, -1521. | Motets. Selections		http://example.org/1373014#Work	
Motivating volunteers : how the rewards of unpaid work can meet people's needs /		Moore, Larry F., 1934-	Moore, Larry F., 1934- | Motivating volunteers : how the rewards of unpaid work can meet people's needs /		http://example.org/1002352#Work	
Motor learning : concepts &amp; applications /		Magill, Richard A.	Magill, Richard A. | Motor learning : concepts &amp; applications /		http://example.org/1365380#Work	
MSAT, an opportunity for Canada.		Canada. Dept. of Communications.	Canada. Dept. of Communications. | MSAT, an opportunity for Canada.		http://example.org/1357580#Work	
Multidimensional systems theory : progress, directions, and open problems in multidimensional systems /		Bose, N. K. (Nirmal K.), 1940-	Bose, N. K. (Nirmal K.), 1940- | Multidimensional systems theory : progress, directions, and open problems in multidimensional systems /		http://example.org/1301767#Work	
Mathematics and its applications (Kluwer Academic Publishers)	n88505476	Bose, N. K. (Nirmal K.), 1940-	Bose, N. K. (Nirmal K.), 1940- | Mathematics and its applications (D. Reidel Publishing Company)		http://example.org/1301767#Work830-23	
Municipal concerns with the establishment of national parks in the Northwest Territories /		Northwest Territories Association of Municipalities.	Northwest Territories Association of Municipalities. | Municipal concerns with the establishment of national parks in the Northwest Territories /		http://example.org/1378732#Work	
Heritage for tomorrow.			 | Heritage for tomorrow.		http://example.org/1378732#Work740-24	
Music from Rustlers' rhapsody and other songs		Morris, Gary.	Morris, Gary. | Music from Rustlers' rhapsody and other songs		http://example.org/1408420#Work	
Music in Indian art /		Hariharan, M. (Muthuswamy), 1951-	Hariharan, M. (Muthuswamy), 1951- | Music in Indian art /		http://example.org/1329665#Work	
Musik und Jugendstil der Wiener Schule, 1900-1908 /		Gerlach, Reinhard, 1934-	Gerlach, Reinhard, 1934- | Musik und Jugendstil der Wiener Schule, 1900-1908 /		http://example.org/1368741#Work	
Musique sacrée à l' Oratoire St. Joseph		Petits Chanteurs du Mont-Royal.	Petits Chanteurs du Mont-Royal. | Musique sacrée à l' Oratoire St. Joseph		http://example.org/1331179#Work	
Motets (1569). Alleluja, Tulerunt Dominum.		Palestrina, Giovanni Pierluigi da, 1525?-1594.	Palestrina, Giovanni Pierluigi da, 1525?-1594. | Motets (1569). Alleluja, Tulerunt Dominum.		http://example.org/1331179#Work700-31	
Deus canticum novum.		Asola, Giovanni Matteo, -1609.	Asola, Giovanni Matteo, -1609. | Deus canticum novum.		http://example.org/1331179#Work700-32	
Choral flourish.		Vaughan Williams, Ralph, 1872-1958.	Vaughan Williams, Ralph, 1872-1958. | Choral flourish.		http://example.org/1331179#Work700-33	
Befiehl dem Engel, dass er komm.		Buxtehude, Dietrich, 1637-1707.	Buxtehude, Dietrich, 1637-1707. | Befiehl dem Engel, dass er komm.		http://example.org/1331179#Work700-34	
Magnificat.		Reichel, Bernard, 1901-1992.	Reichel, Bernard, 1901-1992. | Magnificat.		http://example.org/1331179#Work700-35	
Mendelssohn-Bartholdy, Felix, 1809-1847. | Motets, women's voices, organ, op. 39. Veni Domine	no98009512	Mendelssohn-Bartholdy, Felix, 1809-1847.	Mendelssohn-Bartholdy, Felix, 1809-1847. | Motets, women's voices, organ, op. 39. Veni Domine.		http://example.org/1331179#Work700-36	
Sing unto the Lord.		Archer, Violet.	Archer, Violet. | Sing unto the Lord.		http://example.org/1331179#Work700-37	
Cantique de Jean Racine, mixed voices, organ.		Fauré, Gabriel, 1845-1924.	Fauré, Gabriel, 1845-1924. | Cantique de Jean Racine, mixed voices, organ.		http://example.org/1331179#Work700-38	
Psaume cl; arranged.		Franck, César, 1822-1890.	Franck, César, 1822-1890. | Psaume cl; arranged.		http://example.org/1331179#Work700-39	
Anna mihi dilecta veni.		Lasso, Orlando di, 1532-1594.	Lasso, Orlando di, 1532-1594. | Anna mihi dilecta veni.		http://example.org/1331179#Work700-40	
Christus factus est, mixed voices.		Bruckner, Anton, 1824-1896.	Bruckner, Anton, 1824-1896. | Christus factus est, mixed voices.		http://example.org/1331179#Work700-41	
Ave verum.		Saint-Saëns, Camille, 1835-1921.	Saint-Saëns, Camille, 1835-1921. | Ave verum.		http://example.org/1331179#Work700-42	
Muza gdańska Janowi Sobieskiemu, 1673-1696 /		Kotarski, Edmund.	Kotarski, Edmund. | Muza gdańska Janowi Sobieskiemu, 1673-1696 /		http://example.org/1377891#Work	
Mythology for young people : a reference guide /		Kohn, Rita T.	Kohn, Rita T. | Mythology for young people : a reference guide /		http://example.org/1377016#Work	
Garland reference library of the humanities	n42011953	Kohn, Rita T.	Kohn, Rita T. | Garland reference library of the humanities ;		http://example.org/1377016#Work830-23	
Nastawgan : the Canadian north by canoe &amp; snowshoe : a collection of historical essays /		Hodgins, Bruce W., 1931-	Hodgins, Bruce W., 1931- | Nastawgan : the Canadian north by canoe &amp; snowshoe : a collection of historical essays /		http://example.org/1377901#Work	
Neue Wege im russischen Geschichtsdenken des 18. Jahrhunderts /		Donnert, Erich.	Donnert, Erich. | Neue Wege im russischen Geschichtsdenken des 18. Jahrhunderts /		http://example.org/1313531#Work	
Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig. Philologisch-Historische Klasse	n84708462	Donnert, Erich.	Donnert, Erich. | Sitzungsberichte der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse.		http://example.org/1313531#Work830-24	
Neuroanatomy and neuropathology : a clinical guide for neuropsychologists /		Reitan, Ralph M.	Reitan, Ralph M. | Neuroanatomy and neuropathology : a clinical guide for neuropsychologists /		http://example.org/1318845#Work	
New Nigerian verse : a three crowns anthology /		Akeh-Osu, Lawrence.	Akeh-Osu, Lawrence. | New Nigerian verse : a three crowns anthology /		http://example.org/1371655#Work	
New/old approaches to renewable resources management in the North /		Freeman, Milton M. R., 1934-	Freeman, Milton M. R., 1934- | New/old approaches to renewable resources management in the North /		http://example.org/1409258#Work	
Northern frontier development--Alaska/Canada perspectives.			 | Northern frontier development--Alaska/Canada perspectives.		http://example.org/1409258#Work740-26	
Nicomachean ethics. English		Aristotle.	Aristotle. | Nicomachean ethics. | English	n85090971	http://example.org/1314216#Work	
Nisi Dominus Vocal score		Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Nisi Dominus Vocal score		http://example.org/1324868#Work	
Works. 1979.		Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Works. 1979	n42010680	http://example.org/1324868#Work800-29	
Njeddo Dewal, mère de la calamité : conte initiatique peul /		Bâ, Amadou Hampaté.	Bâ, Amadou Hampaté. | Njeddo Dewal, mère de la calamité : conte initiatique peul /		http://example.org/1330416#Work	
Collection orale.		Bâ, Amadou Hampaté.	Bâ, Amadou Hampaté. | Collection orale.		http://example.org/1330416#Work830-19	
Northern studies assessment project : a report : undertaken as a summer project for the National Library of Canada /		MacNaughton, Margot.	MacNaughton, Margot. | Northern studies assessment project : a report : undertaken as a summer project for the National Library of Canada /		http://example.org/1397323#Work	
North-South collaboration in higher education : academic links between Britain and the developing world /		King, Kenneth, 1940-	King, Kenneth, 1940- | North-South collaboration in higher education : academic links between Britain and the developing world /		http://example.org/1340470#Work	
Occasional papers (University of Edinburgh. Centre of African Studies)	n84725697	King, Kenneth, 1940-	King, Kenneth, 1940- | Occasional papers (University of Edinburgh. Centre of African Studies) ;		http://example.org/1340470#Work830-25	
Roman s kokainom. English		Agi͡eev, M.	Agi︠e︡ev, M. | Roman s kokainom. | English	n85104720	http://example.org/1313642#Work	
Numerical mathematics and computing /		Cheney, E. W. (Elliott Ward), 1929-	Cheney, E. W. (Elliott Ward), 1929- | Numerical mathematics and computing /		http://example.org/1336904#Work	
Nursing research : the application of qualitative approaches /		Field, Peggy-Anne.	Field, Peggy-Anne. | Nursing research : the application of qualitative approaches /		http://example.org/1368589#Work	
O auto retrato de Bakun : filme de S. Back.		Back, S., 1937-	Back, S., 1937- | O auto retrato de Bakun : filme de S. Back.		http://example.org/1310573#Work	
Oh Tyrol ; oder, Der letzte auf der Säule: ein Monolog /		Rosendorfer, Herbert, 1934-2012.	Rosendorfer, Herbert, 1934-2012. | Oh Tyrol ; oder, Der letzte auf der Säule: ein Monolog /		http://example.org/1393042#Work	
Der letzte auf der Säule.			 | Der letzte auf der Säule.		http://example.org/1393042#Work740-17	
On a Chinese screen /		Maugham, W. Somerset (William Somerset), 1874-1965.	Maugham, W. Somerset (William Somerset), 1874-1965. | On a Chinese screen. | Japanese	nr91032900	http://example.org/1302800#Work	
On the trail of forgotten people : a personal account of the life and career of Mark Raymond Harrington /		Harrington, Marie.	Harrington, Marie. | On the trail of forgotten people : a personal account of the life and career of Mark Raymond Harrington /		http://example.org/1302626#Work	
Organized for prohibition : a new history of the Anti-saloon League /		Kerr, K. Austin (Kathel Austin)	Kerr, K. Austin (Kathel Austin) | Organized for prohibition : a new history of the Anti-saloon League /		http://example.org/1354871#Work	
Orientation program for development appeal boards. Supplementary information.		Alberta. Alberta Municipal Affairs. Planning Services Division.	Alberta. Alberta Municipal Affairs. Planning Services Division. | Orientation program for development appeal boards. Supplementary information.		http://example.org/1001202#Work	
Origini del dubbio nel pensiero e nella poesia di Giacomo Leopardi /		Ghiazza, Silvana.	Ghiazza, Silvana. | Origini del dubbio nel pensiero e nella poesia di Giacomo Leopardi /		http://example.org/1000458#Work	
Il dubbio nel Leopardi.			 | Il dubbio nel Leopardi.		http://example.org/1000458#Work740-20	
Ost-West-Handel 1984/85 : OECD-Importe aus dem Osten belebt (Entwicklung 1984 und Aussichten für 1985) /		Stankovsky, Jan.	Stankovsky, Jan. | Ost-West-Handel 1984/85 : OECD-Importe aus dem Osten belebt (Entwicklung 1984 und Aussichten für 1985) /		http://example.org/1359383#Work	
Forschungsberichte - Wiener Institut für Internationale Wirtschaftsvergleiche	n42011695	Stankovsky, Jan.	Stankovsky, Jan. | Forschungsberichte (Wiener Institut für Internationale Wirtschaftsvergleiche) ;		http://example.org/1359383#Work830-19	
[Pam'i͡atka arkhii͡ereĭsʹkykh vidvidyn].		Marusyn, Myroslav.	Marusyn, Myroslav. | [Pam'i͡atka arkhii͡ereĭsʹkykh vidvidyn].		http://example.org/1390692#Work	
Pasynki vremennykh otchizn /		Gass, Boris.	Gass, Boris. | Pasynki vremennykh otchizn /		http://example.org/1315344#Work	
Rembrandt i evreĭstvo v ego tvorchestve. 1985.		Pasternak, Leonid Osipovich, 1862-1945.	Pasternak, Leonid Osipovich, 1862-1945. | Rembrandt i evreĭstvo v ego tvorchestve. 1985.		http://example.org/1315344#Work700-21	
Peinture québécoise à Paris : 36e Salon de la jeune peinture, Grand palais, Paris, France, du 6 au 23 février 1985 : Paris-Couleur-Montréal, Maison de la culture Côte-des-Neiges, ... Montréal, Québec, du 7 au 31 mars 1985.		Conseil des artistes peintres du Québec.	Conseil des artistes peintres du Québec. | Peinture québécoise à Paris : 36e Salon de la jeune peinture, Grand palais, Paris, France, du 6 au 23 février 1985 : Paris-Couleur-Montréal, Maison de la culture Côte-des-Neiges, ... Montréal, Québec, du 7 au 31 mars 1985.		http://example.org/1405386#Work	
Personal care /		Wilshere, E. R.	Wilshere, E. R. | Personal care /		http://example.org/1313288#Work	
Equipment for the disabled (Series)		Wilshere, E. R.	Wilshere, E. R. | Equipment for the disabled (Series)		http://example.org/1313288#Work830-29	
Perspectives		Hocks, Paula.	Hocks, Paula. | Perspectives		http://example.org/1296103#Work	
Peter Hill plays piano music		Hill, Peter, 1948- ,	Hill, Peter, 1948- , | Peter Hill plays piano music		http://example.org/1312499#Work	
Sonata, piano.		Osborne, Nigel.	Osborne, Nigel. | Sonata, piano.		http://example.org/1312499#Work700-30	
Piano music. Selections.		Skempton, Howard, 1947-	Skempton, Howard, 1947- | Piano music. Selections.		http://example.org/1312499#Work700-31	
Dreamlandscapes. Book 2.		Young, Douglas, 1947-	Young, Douglas, 1947- | Dreamlandscapes. Book 2.		http://example.org/1312499#Work700-32	
Podotri͡ad Octomacrinea Khotenovsky /		Khotenovskiı̆, I. A. (Igorʹ Aleksandrovich)	Khotenovskiı̆, I. A. (Igorʹ Aleksandrovich) | Podotri͡ad Octomacrinea Khotenovsky /		http://example.org/1328729#Work	
Fauna SSSR	n86727018	Khotenovskiı̆, I. A. (Igorʹ Aleksandrovich)	Khotenovskiı̆, I. A. (Igorʹ Aleksandrovich) | Fauna SSSR. ;		http://example.org/1328729#Work830-22	
Poem of Thanksgiving and other poems /		Kavanagh, Paul.	Kavanagh, Paul. | Poem of Thanksgiving and other poems /		http://example.org/1339268#Work	
Poesía social cubana.		Editorial Letras Cubanas.	Editorial Letras Cubanas. | Poesía social cubana.		http://example.org/1359187#Work	
Poetikata na makedonskiot raskaz /		Georgievski, Hristo, 1943-	Georgievski, Hristo, 1943- | Poetikata na makedonskiot raskaz /		http://example.org/1344911#Work	
Poezija Laze Kostića /		Živković, Dragiša.	Živković, Dragiša. | Poezija Laze Kostića /		http://example.org/1305393#Work	
Biblioteka Portret književnog dela. Treće kolo	n99017146	Živković, Dragiša.	Živković, Dragiša. | Biblioteka Portret književnog dela.		http://example.org/1305393#Work830-20	
Points along The Cote d'Azur triangle, a play by Harry Kondoleon with etchings by Mark Beard /		Kondoleon, Harry.	Kondoleon, Harry. | Points along The Cote d'Azur triangle, a play by Harry Kondoleon with etchings by Mark Beard /		http://example.org/1375295#Work	
Cote d'Azur triangle.		Kondoleon, Harry.	Kondoleon, Harry. | Cote d'Azur triangle.		http://example.org/1375295#Work600-17	
Brak tchu. English		Anderman, Janusz, 1949-	Anderman, Janusz, 1949- | Brak tchu. | English	no2002086315	http://example.org/1367181#Work	
Politics and theatre in Tanzania after the Arusha declaration, 1967-1984 /		Lihamba, Amandina.	Lihamba, Amandina. | Politics and theatre in Tanzania after the Arusha declaration, 1967-1984 /		http://example.org/1313867#Work	
Port development : a handbook for planners in developing countries /		United Nations Conference on Trade and Development. Secretariat.	United Nations Conference on Trade and Development. Secretariat. | Port development : a handbook for planners in developing countries /		http://example.org/1322889#Work	
Post-secondary education financing act /		Canadian Association of University Teachers.	Canadian Association of University Teachers. | Post-secondary education financing act /		http://example.org/1407608#Work	
Loi sur le financement de l'enseignement postsecondaire.			 | Loi sur le financement de l'enseignement postsecondaire.		http://example.org/1407608#Work740-24	
Sipur ḥayai. Russian		Jabotinsky, Vladimir, 1880-1940.	Jabotinsky, Vladimir, 1880-1940. | Sipur ḥayai. | Russian	n86009341	http://example.org/1315451#Work	
Story of my life.			 | Story of my life.		http://example.org/1315451#Work740-26	
Sipur ḥayai.			 | Sipur ḥayai.		http://example.org/1315451#Work740-27	
"Biblioteka ""Alii︠a︡"""	n42004302	Jabotinsky, Vladimir, 1880-1940.	Jabotinsky, Vladimir, 1880-1940. | Biblioteka Alii͡a ;		http://example.org/1315451#Work830-28	
Preliminary annotated checklist of the Trichoptera (Insecta) of Alaska /		Nimmo, A. P.	Nimmo, A. P. | Preliminary annotated checklist of the Trichoptera (Insecta) of Alaska /		http://example.org/1302280#Work	
Contributions to natural science	n84718006	Nimmo, A. P.	Nimmo, A. P. | Contributions to natural science.		http://example.org/1302280#Work830-27	
Presse und soziale Wirklichkeit : ein Beitrag zur kritischen Sprachwissenschaft /		Good, Colin H.	Good, Colin H. | Presse und soziale Wirklichkeit : ein Beitrag zur kritischen Sprachwissenschaft /		http://example.org/1371862#Work	
Sprache der Gegenwart. ;		Good, Colin H.	Good, Colin H. | Sprache der Gegenwart. ;		http://example.org/1371862#Work830-26	
Problem behavior of adolescents in Hong Kong : a socio-cultural perspective /		Mok, Bong-ho.	Mok, Bong-ho. | Problem behavior of adolescents in Hong Kong : a socio-cultural perspective /		http://example.org/1314596#Work	
Occasional papers (Chinese University of Hong Kong. Centre for Hong Kong Studies)	no94011649	Mok, Bong-ho.	Mok, Bong-ho. | Occasional papers (Chinese University of Hong Kong. Centre for Hong Kong Studies) ;		http://example.org/1314596#Work830-22	
Probleme des Zeichens und der Kommunikation in der Wissenschafts- und Ideologiegeschichte der Aufklärung /		Ricken, Ulrich.	Ricken, Ulrich. | Probleme des Zeichens und der Kommunikation in der Wissenschafts- und Ideologiegeschichte der Aufklärung /		http://example.org/1313300#Work	
Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig. Philologisch-Historische Klasse	n84708462	Ricken, Ulrich.	Ricken, Ulrich. | Sitzungsberichte der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse.		http://example.org/1313300#Work830-26	
Proceedings of Second International Workshop on Alluvial River Problems (SIWARP), University of Roorkee, Roorkee, U.P., India, 1985.		International Workshop on Alluvial River Problems. (2nd : 1985 : University of Roorkee)	International Workshop on Alluvial River Problems. (2nd : 1985 : University of Roorkee) | Proceedings of Second International Workshop on Alluvial River Problems (SIWARP), University of Roorkee, Roorkee, U.P., India, 1985.		http://example.org/1363615#Work	
Proceedings of the fifth World Sanskrit Conference : Varanasi, India, October 21-26, 1981 /		World Sanskrit Conference. (5th : 1981 : Varanasi, India)	World Sanskrit Conference. (5th : 1981 : Varanasi, India) | Proceedings of the fifth World Sanskrit Conference : Varanasi, India, October 21-26, 1981 /		http://example.org/1302126#Work	
Proceedings of the Fourth Conference on Curriculum Theory in Physical Education, April 14-16, 1985, Athens, Georgia /		Conference on Curriculum Theory in Physical Education (4th : 1985 : Athens, Ga.)	Conference on Curriculum Theory in Physical Education (4th : 1985 : Athens, Ga.) | Proceedings of the Fourth Conference on Curriculum Theory in Physical Education, April 14-16, 1985, Athens, Georgia /		http://example.org/1338067#Work	
Programmes de déjudiciarisation et de prévention de la délinquance juvénile au Canada /		Kopelman, Faigie.	Kopelman, Faigie. | Programmes de déjudiciarisation et de prévention de la délinquance juvénile au Canada /		http://example.org/1384253#Work	
Juvenile prevention and diversion programs in Canada.			 | Juvenile prevention and diversion programs in Canada.		http://example.org/1384253#Work740-30	
User report	n95023759	Kopelman, Faigie.	Kopelman, Faigie. | User report ;		http://example.org/1384253#Work830-31	
Progress towards a common transport policy : maritime transport : Commission communication and proposals to the Council transmitted on 19 March 1985 (based on COM (85) 90 final).		Commission of the European Communities.	Commission of the European Communities. | Progress towards a common transport policy : maritime transport : Commission communication and proposals to the Council transmitted on 19 March 1985 (based on COM (85) 90 final).		http://example.org/1348427#Work	
Bulletin of the European Union. Supplement	n95051057	Commission of the European Communities.	Commission of the European Communities. | Bulletin of the European Communities. Supplement ;		http://example.org/1348427#Work830-23	
Proposal for a tenth Council directive based on article 54 (3) (g) of the EEC treaty concerning cross-border mergers of public limited companies /		Commission of the European Communities.	Commission of the European Communities. | Proposal for a tenth Council directive based on article 54 (3) (g) of the EEC treaty concerning cross-border mergers of public limited companies /		http://example.org/1348425#Work	
Cross-border mergers of public limited companies: proposal for a tenth directive.			 | Cross-border mergers of public limited companies: proposal for a tenth directive.		http://example.org/1348425#Work740-23	
Bulletin of the European Union. Supplement	n95051057	Commission of the European Communities.	Commission of the European Communities. | Bulletin of the European Communities. Supplement ;		http://example.org/1348425#Work830-24	
Proposed improvements to the Trans Canada Highway in Banff National Park, Sunshine Rd. to Jasper Highway : initial assessment.		Canada. Public Works Canada.	Canada. Public Works Canada. | Proposed improvements to the Trans Canada Highway in Banff National Park, Sunshine Rd. to Jasper Highway : initial assessment.		http://example.org/1369122#Work	
Protection of the environment in Austria.		Austria. Bundespressedienst.	Austria. Bundespressedienst. | Protection of the environment in Austria.		http://example.org/1298371#Work	
Österreich Dokumentationen	n86734552	Austria. Bundespressedienst.	Austria. Bundespressedienst. | Austria documentation.		http://example.org/1298371#Work830-20	
Public education in autonomous districts of the north /		Arsenov, V. G.	Arsenov, V. G. | Public education in autonomous districts of the north /		http://example.org/1398366#Work	
Narodnoe obrazovanie v avtonomykh okrugakh severa.			 | Narodnoe obrazovanie v avtonomykh okrugakh severa.		http://example.org/1398366#Work740-23	
PUDs in practice /		Moore, Colleen Grogan.	Moore, Colleen Grogan. | PUDs in practice /		http://example.org/1404483#Work	
Pure saxophone		Dirlam, Richard.,	Dirlam, Richard., | Pure saxophone		http://example.org/1351231#Work	
