Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Armstrong, Louis, 1901-1971.	n50001506	n50001506	Person	http://example.org/1300457#Agent700-35	no91029812	
Elfman, Danny	n91078009	n91078009	Person	http://example.org/1353065#Agent100-12		
McCarthy, James J., 1962-....	n2009183582	n79083253	Organization	http://example.org/1335619#Agent610-18	n79083253	http://example.org/1335619#Agent610-18
United Nations. Dept. of International Economic and Social Affairs. Population Division.		n80139861	Organization	http://example.org/1335619#Agent710-23	n80139861	
McCarthy, James J., 1962-....	n2009183582	n79083253	Organization	http://example.org/1335619#Agent710-24	n79083253	
Ali, Muhammad, 1942-2016	n79054611	n79054611	Person	http://example.org/1378132#Agent700-21		
Drohobycz-Boryslaw Reunion (1985 : South Fallsburg, N.Y.)			Meeting	http://example.org/1378132#Agent711-22		
Franck, Irène M.	n79017204	n79017204	Person	http://example.org/1000809#Agent100-12		
Brownstone, David M.	n79053617	n79053617	Person	http://example.org/1000809#Agent700-28		
Canada. Geographical Services Division.		n85096984	Jurisdiction	http://example.org/1333823#Agent110-14	n89119116	
Reeves, Randall R.	n78069422	no94019701	Jurisdiction	http://example.org/1333823#Agent610-26	n79058470	http://example.org/1333823#Agent610-26
Canada. Map Office.		no92002685	Jurisdiction	http://example.org/1333823#Agent710-30	no92002685	
Canada. Geographical Services Division.		n85096984	Jurisdiction	http://example.org/1333821#Agent110-15	n89119116	
Martin, Paul, 1938-....	no94027385	n79142778	Jurisdiction	http://example.org/1333821#Agent610-29	n79142778	http://example.org/1333821#Agent610-29
Elections Canada		no93008925	Organization	http://example.org/1333821#Agent610-30	no93008925	http://example.org/1333821#Agent610-30
Canada. Energy, Mines and Resources Canada.		n82025292	Jurisdiction	http://example.org/1333821#Agent710-34	n79058470	
Canada. Map Office.		no92002685	Jurisdiction	http://example.org/1333821#Agent710-35	no92002685	
May, Robin	n50007061	n50007061	Person	http://example.org/1363812#Agent100-13		
Canute I, King of England, 995?-1035	n81097818	n81097818	Person	http://example.org/1363812#Agent600-26	nb2008006483	http://example.org/1363812#Agent600-26
Wesley, Charles, 1707-1788.	n50003882	n50003882	Person	http://example.org/1363812#Agent700-31		
Donovan, Kenneth Joseph, 1950-	n87906175	n87906175	Person	http://example.org/1372777#Agent700-25		
Bergin, Joseph, 1948-....	n85022611	n85022611	Person	http://example.org/1354896#Agent100-19		
Richelieu, Armand-Jean du Plessis, duc de, 1585-1642	n50074523	n50074523	Person	http://example.org/1354896#Agent600-29		http://example.org/1354896#Agent600-29
Kuttner, Henry	n50061631	n50061631	Person	http://example.org/1001365#Agent700-22		
Erickson, Diane	n2002158051	n2002158051	Person	http://example.org/1351414#Agent100-11		
Girardot, Annie, 1931-2011.	n81072357	n81072357	Person	http://example.org/1351414#Agent700-25	n78083550	
Northwest Territories. Dept. of Social Services.		n87118580	Jurisdiction	http://example.org/1351414#Agent710-26	n87118580	
