Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Magnificent voyagers : the U.S. exploring expedition, 1838-1842 /	Viola, Herman J.	Viola, Herman J. | Magnificent voyagers : the U.S. exploring expedition, 1838-1842 /		http://example.org/1372172#Work	blank
Mahler-Interpretation : Aspekte zum Werk und Wirken von Gustav Mahler /	Stephan, Rudolf.	Stephan, Rudolf. | Mahler-Interpretation : Aspekte zum Werk und Wirken von Gustav Mahler /		http://example.org/1323285#Work	blank
Malysh /	Strugat͡skiĭ, Arkadiĭ Natanovich.	Strugat͡skiĭ, Arkadiĭ Natanovich. | Malysh /		http://example.org/1346422#Work	blank
Management and planning issues in the use of microcomputers in schools /	Lancaster, David.	Lancaster, David. | Management and planning issues in the use of microcomputers in schools /		http://example.org/1297397#Work	blank
Occasional paper in educational planning, management, and statistics. ;	Lancaster, David.	Lancaster, David. | Occasional paper in educational planning, management, and statistics. ;		http://example.org/1297397#Work830-26	blank
Management of information systems casebook /	Dickson, Gary W.	Dickson, Gary W. | Management of information systems casebook /		http://example.org/1393373#Work	blank
McGraw-Hill series in management information systems.	Dickson, Gary W.	Dickson, Gary W. | McGraw-Hill series in management information systems.		http://example.org/1393373#Work830-28	blank
Management strategies for libraries : a basic reader /	Lynch, Beverly P.	Lynch, Beverly P. | Management strategies for libraries : a basic reader /		http://example.org/1342682#Work	blank
Maps of the Soviet Union at the University of Chicago Map Collection /	Winters, Christopher, 1944-	Winters, Christopher, 1944- | Maps of the Soviet Union at the University of Chicago Map Collection /		http://example.org/1312002#Work	blank
Mariĭskoe narodnoe iskusstvo = Mariĭ kalyk iskusstvo /	Medzhitova, Ė. D. (Ėlʹmira Dzhevatovna)	Medzhitova, Ė. D. (Ėlʹmira Dzhevatovna) | Mariĭskoe narodnoe iskusstvo = Mariĭ kalyk iskusstvo /		http://example.org/1351947#Work	blank
Mariĭ kalyk iskusstvo.		 | Mariĭ kalyk iskusstvo.		http://example.org/1351947#Work740-24	blank
Material culture of the peoples of Siberia and the north.		 | Material culture of the peoples of Siberia and the north.		http://example.org/1369638#Work	blank
