Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Sonatas, piano, no. 1, op. 2, no. 1, F minor.	Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Sonatas, piano. no. 1, op. 2, no. 1, | F minor	179625665	http://example.org/1351233#Work700-31	blank
Bagatelles, piano, op. 33. No. 4.	Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Bagatelles, piano, op. 33. No. 4	186514171	http://example.org/1351233#Work700-32	blank
Bagatelles, piano, op. 33. No. 7.	Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Bagatelles, piano, op. 33. No. 7	186106416	http://example.org/1351233#Work700-33	blank
Sonatas, piano, no. 2, op. 2, no. 2, A major.	Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Sonatas, piano. no. 2, op. 2, no. 2, | A major	179221580	http://example.org/1351233#Work700-34	blank
Sonatas, violoncello, continuo, G. 17, C major	Boccherini, Luigi, 1743-1805.	Boccherini, Luigi, 1743-1805. | Sonatas, cello, continuo, G. 17, | C major	181663328	http://example.org/1360951#Work	blank
Sonatas, violoncello, continuo, E♭ major	Boccherini, Luigi, 1743-1805.	Boccherini, Luigi, 1743-1805. | Sonatas, cello, continuo, G. 566, | E♭ major	174620945	http://example.org/1360105#Work	blank
Songs and arias	Greer, Albert, 1937-	Greer, Albert, 1937- | Songs and arias		http://example.org/1331608#Work	blank
Acis and Galatea. Would you gain the tender creature; arranged.	Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Acis and Galatea. Would you gain the tender creature; arranged.		http://example.org/1331608#Work700-25	blank
Masses, BWV 232, B minor. Benedictus; arranged.	Bach, Johann Sebastian, 1685-1750.	Bach, Johann Sebastian, 1685-1750. | Masses, BWV 232, B minor. Benedictus; arranged.		http://example.org/1331608#Work700-26	blank
Songs. Selections.	Britten, Benjamin, 1913-1976.	Britten, Benjamin, 1913-1976. | Songs. Selections	176643817	http://example.org/1331608#Work700-27	blank
Land of dreams.	Morawetz, Oskar, 1917-2007.	Morawetz, Oskar, 1917-2007. | Land of dreams	184716161	http://example.org/1331608#Work700-28	blank
Zauberflöte. Dies Bildnis ist bezaubernd schön arranged.	Mozart, Wolfgang Amadeus, 1756-1791.	Mozart, Wolfgang Amadeus, 1756-1791. | Zauberflöte. Dies Bildnis ist bezaubernd schön arranged.		http://example.org/1331608#Work700-29	blank
Semele. Where'er you walk arranged.	Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Semele. Where'er you walk arranged.		http://example.org/1331608#Work700-30	blank
Weihnachts-Oratorium. Frohe Hirten, eilt arranged.	Bach, Johann Sebastian, 1685-1750.	Bach, Johann Sebastian, 1685-1750. | Weihnachts-Oratorium. Frohe Hirten, eilt arranged.		http://example.org/1331608#Work700-31	blank
Pêcheurs de perles. Je crois entendre encore arranged.	Bizet, Georges, 1838-1875.	Bizet, Georges, 1838-1875. | Pêcheurs de perles. Je crois entendre encore arranged.		http://example.org/1331608#Work700-32	blank
Shakespeare songs, op. 6.	Quilter, Roger, 1877-1953.	Quilter, Roger, 1877-1953. | Shakespeare songs,. op. 6	178425286	http://example.org/1331608#Work700-33	blank
Canciones populares españolas. Nana arranged.	Falla, Manuel de, 1876-1946.	Falla, Manuel de, 1876-1946. | Canciones populares españolas. Nana arranged.		http://example.org/1331608#Work700-34	blank
Songs to words by Walt Whitman.	Somers, Harry, 1925-1999.	Somers, Harry, 1925-1999. | Songs to words by Walt Whitman	175020289	http://example.org/1331608#Work700-36	blank
Songs from unsung worlds : science in poetry /	Gordon, Bonnie Bilyeu.	Gordon, Bonnie Bilyeu. | Songs from unsung worlds : science in poetry /		http://example.org/1301307#Work	blank
Science 85.		 | Science 85.		http://example.org/1301307#Work730-23	blank
Songs in a time of war /	Saro-Wiwa, Ken, 1941-1995.	Saro-Wiwa, Ken, 1941-1995. | Songs in a time of war /		http://example.org/1328474#Work	blank
Sour gas study of the Calgary Region /	Calgary Regional Planning Commission.	Calgary Regional Planning Commission. | Sour gas study of the Calgary Region /		http://example.org/1396986#Work	blank
Sovereignty and leadership in Lebanon, 1943-1976 /	Goria, Wade R.	Goria, Wade R. | Sovereignty and leadership in Lebanon, 1943-1976 /		http://example.org/1001338#Work	blank
So you have a graduate engineer : a guide for practising civil engineers.	Institution of Civil Engineers (Great Britain)	Institution of Civil Engineers (Great Britain) | So you have a graduate engineer : a guide for practising civil engineers.		http://example.org/1306027#Work	blank
Spielformen der Poesie /	Grümmer, Gerhard.	Grümmer, Gerhard. | Spielformen der Poesie /		http://example.org/1305544#Work	blank
Spin a soft Black song : poems for children /	Giovanni, Nikki.	Giovanni, Nikki. | Spin a soft Black song : poems for children /		http://example.org/1364576#Work	blank
Spin off	Stokes, Telfer.	Stokes, Telfer. | Spin off		http://example.org/1298873#Work	blank
Spirit of Nova Scotia : traditional decorative folk art, 1780-1930 /	Field, Richard Henning, 1944-	Field, Richard Henning, 1944- | Spirit of Nova Scotia : traditional decorative folk art, 1780-1930 /		http://example.org/1386754#Work	blank
Stabat Mater. Latin	Pärt, Arvo.	Pärt, Arvo. | Stabat Mater. Latin		http://example.org/1339217#Work	blank
Statistics : concepts and controversies /	Moore, David S.	Moore, David S. | Statistics concepts and controversies	309274453	http://example.org/1306469#Work	blank
Stitches in time	Crombie, John.	Crombie, John. | Stitches in time		http://example.org/1336910#Work	blank
Stochastic modelling and control /	Davis, M. H. A.	Davis, M. H. A. | Stochastic modelling and control /		http://example.org/1336492#Work	blank
Monographs on statistics and applied probability.	Davis, M. H. A.	Davis, M. H. A. | Monographs on statistics and applied probability.		http://example.org/1336492#Work830-26	blank
Stream of consciousness : Indo-Anglian novel /	Mahajan, Serena, 1955-	Mahajan, Serena, 1955- | Stream of consciousness : Indo-Anglian novel /		http://example.org/1320674#Work	blank
Stress-strain modelling of soils /	Banerjee, P. (Priyatosh), 1920-2007.	Banerjee, P. (Priyatosh), 1920-2007. | Stress-strain modelling of soils /		http://example.org/1321240#Work	blank
Developments in soil mechanics and foundation engineering.	Banerjee, P. (Priyatosh), 1920-2007.	Banerjee, P. (Priyatosh), 1920-2007. | Developments in soil mechanics and foundation engineering.		http://example.org/1321240#Work830-23	blank
Quartets, violins (2), viola, cello, no. 3, op. 37	Goehr, Alexander, 1932-	Goehr, Alexander, 1932- | Quartets, violins (2), viola, cello, no. 3, op. 37	176413748	http://example.org/1330687#Work	blank
Musik unserer Zeit.	Goehr, Alexander, 1932-	Goehr, Alexander, 1932- | Musik unserer Zeit.		http://example.org/1330687#Work830-26	blank
Studies in educational administration and policy making : the case of Israel /	Ben Baruch, Ephraim.	Ben Baruch, Ephraim. | Studies in educational administration and policy making : the case of Israel /		http://example.org/1372078#Work	blank
Studies in educational administration &amp; policy making.		 | Studies in educational administration &amp; policy making.		http://example.org/1372078#Work740-26	blank
Educational administration.		 | Educational administration.		http://example.org/1372078#Work740-27	blank
Papers in educational administration.	Ben Baruch, Ephraim.	Ben Baruch, Ephraim. | Papers in educational administration.		http://example.org/1372078#Work830-28	blank
Suicides, violent and accidental deaths among treaty Indians in Saskatchewan : analysis and recommendations for change /	Fiddler, Sid.	Fiddler, Sid. | Suicides, violent and accidental deaths among treaty Indians in Saskatchewan : analysis and recommendations for change /		http://example.org/1314888#Work	blank
Summary of the Dene/Metis wildlife agreement /	Dene/Metis Negotiations Secretariat.	Dene/Metis Negotiations Secretariat. | Summary of the Dene/Metis wildlife agreement /		http://example.org/1395151#Work	blank
Śūnyatāsaptati kārika. Polyglot	Nāgārjuna, 2nd century.	Nāgārjuna, 2nd century. | Śūnyatāsaptati kārika. Polyglot		http://example.org/1313584#Work	blank
Stoṅ ñid bdun cu pa.		 | Stoṅ ñid bdun cu pa.		http://example.org/1313584#Work740-30	blank
Śunyatāsaptatiḥ of Ārya Nāgārjuna.		 | Śunyatāsaptatiḥ of Ārya Nāgārjuna.		http://example.org/1313584#Work740-31	blank
Bhoṭa-Bhāratīya granthamālā ;	Nāgārjuna, 2nd century.	Nāgārjuna, 2nd century. | Bhoṭa-Bhāratīya granthamālā ;		http://example.org/1313584#Work830-32	blank
Symphonies, no. 3	Ives, Charles, 1874-1954.	Ives, Charles, 1874-1954. | Symphonies. no. 3	176638689	http://example.org/1295873#Work	blank
Set, orchestra, no. 2.	Ives, Charles, 1874-1954.	Ives, Charles 1874-1954 | Orchestral sets Nr. 2	185288711	http://example.org/1295873#Work700-37	blank
Camp meeting.		 | Camp meeting.		http://example.org/1295873#Work740-40	blank
Orchestral set.		 | Orchestral set.		http://example.org/1295873#Work740-41	blank
Symposium on feminism and art = Colloque, feminisme et art.	Dawkins, Heather, 1957-	Dawkins, Heather, 1957- | Symposium on feminism and art = Colloque, feminisme et art.		http://example.org/1322663#Work	blank
Parallelogramme.		 | Parallelogramme.		http://example.org/1322663#Work730-27	blank
Colloque, feminisme et art.		 | Colloque, feminisme et art.		http://example.org/1322663#Work740-28	blank
Synthesis	Annapolis Brass Quintet.,	Annapolis Brass Quintet., | Synthesis		http://example.org/1312535#Work	blank
Annapolis suite.	Starer, Robert.	Starer, Robert. | Annapolis suite	179642157	http://example.org/1312535#Work700-39	blank
Aesop suite.	Sapieyevski, Jerzy, 1945-	Sapieyevski, Jerzy, 1945- | Aesop suite	180042848	http://example.org/1312535#Work700-40	blank
Fanfares, brasses.	Sprenkle, Elam, 1948-	Sprenkle, Elam, 1948- | Fanfares, trumpets (2), horn, trombones (2)	180447366	http://example.org/1312535#Work700-41	blank
Songs, mezzo-soprano, brasses.	Sprenkle, Elam, 1948-	Sprenkle, Elam, 1948- | Songs, trumpets (2), horn, trombones (2) accompaniment	180850121	http://example.org/1312535#Work700-42	blank
System der Musikalischen Rhythmik und Metrik /	Riemann, Hugo, 1849-1919.	Riemann, Hugo, 1849-1919. | System der musikalischen Rhythmik und Metrik	175666557	http://example.org/1358066#Work	blank
System software : an introduction to systems programming /	Beck, Leland L.	Beck, Leland L. | System software an introduction to systems programming	313745311	http://example.org/1389791#Work	blank
Take one /	Banko, Rosalie, 1941-	Banko, Rosalie, 1941- | Take one /		http://example.org/1377867#Work	blank
Communicating in English	Banko, Rosalie, 1941-	Banko, Rosalie, 1941- | Communicating in English		http://example.org/1377867#Work830-25	blank
Tales of conflict /	McKelvie, B. A. (Bruce Alistair), 1889-1960.	McKelvie, B. A. (Bruce Alistair), 1889-1960. | Tales of conflict /		http://example.org/1372452#Work	blank
Indian-White murders and massacres in pioneer British Columbia.		 | Indian-White murders and massacres in pioneer British Columbia.		http://example.org/1372452#Work740-28	blank
Teacher competence /	Hall, Gayle C.	Hall, Gayle C. | Teacher competence /		http://example.org/1323449#Work	blank
Hot topics series. ;	Hall, Gayle C.	Hall, Gayle C. | Hot topics series. ;		http://example.org/1323449#Work830-26	blank
Teaching the elementary school chorus /	Swears, Linda.	Swears, Linda. | Teaching the elementary school chorus /		http://example.org/1321990#Work	blank
Techniques for asbestos control in buildings /	Millet, Christian.	Millet, Christian. | Techniques for asbestos control in buildings /		http://example.org/1397050#Work	blank
Technology, change, and society /	Pytlik, Edward C.	Pytlik, Edward C. | Technology, change, and society	310919186	http://example.org/1303930#Work	blank
Television and adult education /	Hilliard, Robert L., 1925-	Hilliard, Robert L., 1925- | Television and adult education /		http://example.org/1407999#Work	blank
Terminos vascos en documentos medievales de los SS. XI-XVI /	Arzamendi, Jesús.	Arzamendi, Jesús. | Terminos vascos en documentos medievales de los SS. XI-XVI /		http://example.org/1323188#Work	blank
Thanksgiving for a liberated prophet : an interpretation of Isaiah chapter 53 /	Whybray, R. N. (Roger Norman)	Whybray, R. N. (Roger Norman) | Thanksgiving for a liberated prophet : an interpretation of Isaiah chapter 53 /		http://example.org/1364650#Work	blank
Bible Isaiah LIII		 | Bible Isaiah LIII		http://example.org/1364650#Work630-28	blank
Journal for the study of the Old Testament. Supplement series. ;	Whybray, R. N. (Roger Norman)	Whybray, R. N. (Roger Norman) | Journal for the study of the Old Testament. Supplement series. ;		http://example.org/1364650#Work830-29	blank
The aerofilms book of Ireland from the air /	Kiely, Benedict.	Kiely, Benedict. | The aerofilms book of Ireland from the air /		http://example.org/1347192#Work	blank
The algorithmic process : an introduction to problem solving /	Wetzel, Gregory F., 1950-	Wetzel, Gregory F., 1950- | The algorithmic process : an introduction to problem solving /		http://example.org/1389789#Work	blank
SRA computer science series.	Wetzel, Gregory F., 1950-	Wetzel, Gregory F., 1950- | SRA computer science series.		http://example.org/1389789#Work830-27	blank
The American juvenile justice system /	Vito, Gennaro F.	Vito, Gennaro F. | The American juvenile justice system /		http://example.org/1311100#Work	blank
Law and criminal justice series. ;	Vito, Gennaro F.	Vito, Gennaro F. | Law and criminal justice series. ;		http://example.org/1311100#Work830-30	blank
The attitudes of Canadian juvenile justice professionals towards the Young Offenders Act /	Moyer, Sharon.	Moyer, Sharon. | The attitudes of Canadian juvenile justice professionals towards the Young Offenders Act /		http://example.org/1343667#Work	blank
Young Offenders Act.	Canada.	Canada. | Young Offenders Act	185904394	http://example.org/1343667#Work610-19	blank
User report ;	Moyer, Sharon.	Moyer, Sharon. | User report ;		http://example.org/1343667#Work830-25	blank
The Banff Centre art collections /	Banff Centre.	Banff Centre. | The Banff Centre art collections /		http://example.org/1405518#Work	blank
The behaviour of soluble petroleum product derived hydrocarbons in groundwater, phase I /	Patrick, G. C.	Patrick, G. C. | The behaviour of soluble petroleum product derived hydrocarbons in groundwater, phase I /		http://example.org/1396440#Work	blank
PACE report	Patrick, G. C.	Patrick, G. C. | PACE report		http://example.org/1396440#Work830-23	blank
The best known name in paper : Hammermill, a history of the company /	McQuillen, Michael J., 1944-	McQuillen, Michael J., 1944- | The best known name in paper : Hammermill, a history of the company /		http://example.org/1303604#Work	blank
The birth of the National Park Service : the founding years, 1913-33 /	Albright, Horace M. (Horace Marden), 1890-1987.	Albright, Horace M. (Horace Marden), 1890-1987. | The birth of the National Park Service : the founding years, 1913-33 /		http://example.org/1328943#Work	blank
Institute of the American West books. ;	Albright, Horace M. (Horace Marden), 1890-1987.	Albright, Horace M. (Horace Marden), 1890-1987. | Institute of the American West books. ;		http://example.org/1328943#Work830-27	blank
The book of ties : 188 knots for necks : history, techniques and photographs /	Mosconi, Davide.	Mosconi, Davide. | The book of ties : 188 knots for necks : history, techniques and photographs /		http://example.org/1001500#Work	blank
The book of world-famous music : classical, popular, and folk /	Fuld, James J., 1916-2008.	Fuld, James J., 1916-2008. | The book of world-famous music : classical, popular, and folk /		http://example.org/1351133#Work	blank
The Bovine Bluff site : an early Puebloan site in the Upper Moapa Valley /	Myhrer, Keith.	Myhrer, Keith. | The Bovine Bluff site : an early Puebloan site in the Upper Moapa Valley /		http://example.org/1312750#Work	blank
Contributions to the study of cultural resources. Technical report. ;	Myhrer, Keith.	Myhrer, Keith. | Contributions to the study of cultural resources. Technical report. ;		http://example.org/1312750#Work830-30	blank
The bright key /	Kilner, Geoffrey.	Kilner, Geoffrey. | The bright key /		http://example.org/1002852#Work	blank
The Commonwealth casebook for administrators in post-secondary education /	McCaig, Robert.	McCaig, Robert. | The Commonwealth casebook for administrators in post-secondary education /		http://example.org/1330711#Work	blank
The Côte d'Azur triangle	Kondoleon, Harry.	Kondoleon, Harry. | The Côte d'Azur triangle		http://example.org/1374812#Work	blank
The crash and its aftermath : a history of securities markets in the United States, 1929-1933 /	Wigmore, Barrie A.	Wigmore, Barrie A. | The crash and its aftermath : a history of securities markets in the United States, 1929-1933 /		http://example.org/1306521#Work	blank
Contributions in economics and economic history.,	Wigmore, Barrie A.	Wigmore, Barrie A. | Contributions in economics and economic history.,		http://example.org/1306521#Work830-27	blank
The decline of U.S. religious faith, 1912-1984 : and the effects of education and intelligence on such faith /	Beckwith, Burnham P. (Burnham Putnam), 1904-	Beckwith, Burnham P. (Burnham Putnam), 1904- | The decline of U.S. religious faith, 1912-1984 : and the effects of education and intelligence on such faith /		http://example.org/1325992#Work	blank
The effect of intelligence on U.S. religious faith.		 | The effect of intelligence on U.S. religious faith.		http://example.org/1325992#Work740-24	blank
Effect of formal education on U.S. religious faith.		 | Effect of formal education on U.S. religious faith.		http://example.org/1325992#Work740-25	blank
The desert encroaches /	Onwueme, Osonye Tess.	Onwueme, Osonye Tess. | The desert encroaches /		http://example.org/1393471#Work	blank
Heinemann frontline series.	Onwueme, Osonye Tess.	Onwueme, Osonye Tess. | Heinemann frontline series.		http://example.org/1393471#Work830-22	blank
The Dominicans : a short history /	Hinnebusch, William A.	Hinnebusch, William A. | The Dominicans : a short history /		http://example.org/1321169#Work	blank
The English companion : an idiosyncratic A-Z of England and Englishness /	Smith, Godfrey, 1926-	Smith, Godfrey, 1926- | The English companion : an idiosyncratic A-Z of England and Englishness /		http://example.org/1299782#Work	blank
The Essential antifederalist /	Allen, W. B. (William Barclay), 1944-	Allen, W. B. (William Barclay), 1944- | The Essential antifederalist /		http://example.org/1002694#Work	blank
The everyman companion to the theatre /	Thomson, Peter, 1938-	Thomson, Peter, 1938- | The everyman companion to the theatre /		http://example.org/1002689#Work	blank
The evolution of community impact assessment in the Alberta EIA system /	Alberta. Environmental Assessment Division.	Alberta. Environmental Assessment Division. | The evolution of community impact assessment in the Alberta EIA system /		http://example.org/1395641#Work	blank
The Faulkner investigation /	Macdonald, Ross, 1915-1983.	Macdonald, Ross, 1915-1983. | The Faulkner investigation /		http://example.org/1396699#Work	blank
Hound.	Faulkner, William, 1897-1962.	Faulkner, William, 1897-1962. | Hound	1.17514542458309E+021	http://example.org/1396699#Work600-22	blank
Intruder in the dust.	Faulkner, William, 1897-1962.	Faulkner, William, 1897-1962. | Intruder in the dust	179546198	http://example.org/1396699#Work600-23	blank
The fear of population decline /	Teitelbaum, Michael S.	Teitelbaum, Michael S. | The fear of population decline /		http://example.org/1353061#Work	blank
Population decline.		 | Population decline.		http://example.org/1353061#Work740-26	blank
The fighting days : a play /	Lill, Wendy, 1950-	Lill, Wendy, 1950- | The fighting days : a play /		http://example.org/1327175#Work	blank
The First Franco-Americans : New England life histories from the Federal Writers' Project, 1938-1939 /	Doty, C. Stewart (Charles Stewart)	Doty, C. Stewart (Charles Stewart) | The First Franco-Americans : New England life histories from the Federal Writers' Project, 1938-1939 /		http://example.org/1369400#Work	blank
Peintres flamands de fleurs au XVIIe siècle. English	Hairs, Marie-Louise.	Hairs, Marie-Louise. | Peintres flamands de fleurs au XVIIe siècle. English		http://example.org/1332399#Work	blank
The formation of artifact assemblages at Workshop/Habitation sites : models from Peace Point in Northern Alberta /	Stevenson, Marc.	Stevenson, Marc. | The formation of artifact assemblages at Workshop/Habitation sites : models from Peace Point in Northern Alberta /		http://example.org/1389845#Work	blank
The global product, internationalization of the auto industry /	Stanford Program on International and Cross-Cultural Education.	Stanford Program on International and Cross-Cultural Education. | The global product, internationalization of the auto industry /		http://example.org/1353540#Work	blank
Histoire ancienne jusqu'à César. Genesis.	Joslin, Mary Coker, 1922-	Joslin, Mary Coker, 1922- | Histoire ancienne jusqu'à César. Genesis.		http://example.org/1001558#Work	blank
Bible. Genesis		 | Bible. Genesis		http://example.org/1001558#Work630-25	blank
Romance Monographs, Inc. (Series) ;	Joslin, Mary Coker, 1922-	Joslin, Mary Coker, 1922- | Romance Monographs, Inc. (Series) ;		http://example.org/1001558#Work830-27	blank
The Indians versus the textbooks : is there any way out? /	Hoxie, Frederick E., 1947-	Hoxie, Frederick E., 1947- | The Indians versus the textbooks : is there any way out? /		http://example.org/1319269#Work	blank
Occasional papers in curriculum series.	Hoxie, Frederick E., 1947-	Hoxie, Frederick E., 1947- | Occasional papers in curriculum series.		http://example.org/1319269#Work830-21	blank
The inner world of American psychiatry, 1890-1940 : selected correspondence /	Grob, Gerald N., 1931-	Grob, Gerald N., 1931- | The inner world of American psychiatry, 1890-1940 : selected correspondence /		http://example.org/1304257#Work	blank
The Japan of today.	Japan. Gaimushō.	Japan. Gaimushō. | The Japan of today.		http://example.org/1341548#Work	blank
The Kenya civil registration demonstration project (CRDP) : a strategy for a rapidly developing country in Africa /	Gil, Benjamin.	Gil, Benjamin. | The Kenya civil registration demonstration project (CRDP) : a strategy for a rapidly developing country in Africa /		http://example.org/1338653#Work	blank
Strategy for a rapidly developing country in Africa.		 | Strategy for a rapidly developing country in Africa.		http://example.org/1338653#Work740-25	blank
The kingdom of coal : work, enterprise, and ethnic communities in the mine fields /	Miller, Donald L., 1944-	Miller, Donald L., 1944- | The kingdom of coal : work, enterprise, and ethnic communities in the mine fields /		http://example.org/1299076#Work	blank
The Lake Range Quarry, Washoe County, Nevada /	Pedrick, Kathryn E.	Pedrick, Kathryn E. | The Lake Range Quarry, Washoe County, Nevada /		http://example.org/1312751#Work	blank
Contributions to the study of cultural resources. Technical report. ;	Pedrick, Kathryn E.	Pedrick, Kathryn E. | Contributions to the study of cultural resources. Technical report. ;		http://example.org/1312751#Work830-28	blank
The late Byzantine and Slavonic Communion Cycle : liturgy and music /	Conomos, Dimitri E.	Conomos, Dimitri E. | The late Byzantine and Slavonic Communion Cycle : liturgy and music /		http://example.org/1001305#Work	blank
Dumbarton Oaks studies. ;	Conomos, Dimitri E.	Conomos, Dimitri E. | Dumbarton Oaks studies. ;		http://example.org/1001305#Work830-30	blank
The law related to ground water aquifers and competing uses in the Province of Alberta : a legal brief /	Petro-Canada.	Petro-Canada. | The law related to ground water aquifers and competing uses in the Province of Alberta : a legal brief /		http://example.org/1305389#Work	blank
The Lesbian issue : essays from Signs /	Freedman, Estelle B., 1947-	Freedman, Estelle B., 1947- | The Lesbian issue : essays from Signs /		http://example.org/1296772#Work	blank
Signs.		 | Signs.		http://example.org/1296772#Work730-23	blank
The lonely voice : a study of the short story /	O'Connor, Frank, 1903-1966.	O'Connor, Frank, 1903-1966. | Lonely voice : a study of the short story	309271236	http://example.org/1334595#Work	blank
The magic handbook /	Eldin, Peter, 1939-	Eldin, Peter, 1939- | The magic handbook /		http://example.org/1002712#Work	blank
The medieval European religious lyric : an ars poetica /	Diehl, Patrick S.	Diehl, Patrick S. | The medieval European religious lyric : an ars poetica /		http://example.org/1306151#Work	blank
Mer vi gör tillsammans.	Hoover, Paul, 1945-	Hoover, Paul, 1945- | Mer vi gör tillsammans.		http://example.org/1312549#Work	blank
Adapting the environment for children with disabilities.		 | Adapting the environment for children with disabilities.		http://example.org/1312549#Work740-38	blank
Monograph (World Rehabilitation Fund) ;	Hoover, Paul, 1945-	Hoover, Paul, 1945- | Monograph (World Rehabilitation Fund) ;		http://example.org/1312549#Work830-39	blank
The Motorola MC68000 microprocessor family : assembly language, interface design, and system design /	Harman, Thomas L., 1942-	Harman, Thomas L., 1942- | The Motorola MC68000 microprocessor family : assembly language, interface design, and system design /		http://example.org/1339738#Work	blank
The myth of the plan : lessons of Soviet planning experience /	Rutland, Peter.	Rutland, Peter. | The myth of the plan : lessons of Soviet planning experience /		http://example.org/1002793#Work	blank
The neglected majority /	Parnell, Dale, 1928-	Parnell, Dale, 1928- | The neglected majority /		http://example.org/1409288#Work	blank
The older patient and the role of the physiotherapist /	Hawker, Margaret.	Hawker, Margaret. | The older patient and the role of the physiotherapist /		http://example.org/1368862#Work	blank
Geriatrics for physiotherapists and the allied professions.	Hawker, Margaret.	Hawker, Margaret. | Geriatrics for physiotherapists and the allied professions.		http://example.org/1368862#Work700-26	blank
Theory and craft of the scenographic model /	Payne, Darwin Reid.	Payne, Darwin Reid. | Theory and craft of the scenographic model /		http://example.org/1002335#Work	blank
Materials and craft of the scenic model.	Payne, Darwin Reid.	Payne, Darwin Reid. | Materials and craft of the scenic model.		http://example.org/1002335#Work700-28	blank
The Pelican-Dives feud : a study in frustration and terror /	Leyendecker, Liston E.	Leyendecker, Liston E. | The Pelican-Dives feud : a study in frustration and terror /		http://example.org/1339207#Work	blank
Essays and monographs in Colorado history.	Leyendecker, Liston E.	Leyendecker, Liston E. | Essays and monographs in Colorado history.		http://example.org/1339207#Work830-26	blank
Monograph (Colorado Historical Society) ;	Leyendecker, Liston E.	Leyendecker, Liston E. | Monograph (Colorado Historical Society) ;		http://example.org/1339207#Work830-27	blank
[The physiological and pathophysiological components of nutrition].		 | [The physiological and pathophysiological components of nutrition].		http://example.org/1378904#Work	blank
The poetry of the Forties in Britain /	Tolley, A. T. (A. Trevor)	Tolley, A. T. (A. Trevor) | The poetry of the Forties in Britain /		http://example.org/1366184#Work	blank
The power of the image : essays on representation and sexuality /	Kuhn, Annette.	Kuhn, Annette. | The power of the image : essays on representation and sexuality /		http://example.org/1000867#Work	blank
The Press of labor migrants in Europe and North America, 1880s to 1930s /	Harzig, Christiane.	Harzig, Christiane. | The Press of labor migrants in Europe and North America, 1880s to 1930s /		http://example.org/1356493#Work	blank
Publications of the Labor Newspaper Preservation Project.	Harzig, Christiane.	Harzig, Christiane. | Publications of the Labor Newspaper Preservation Project.		http://example.org/1356493#Work830-33	blank
The rhetoric of economics /	McCloskey, Deirdre N.	McCloskey, Deirdre N. | The rhetoric of economics /		http://example.org/1335204#Work	blank
Rhetoric of the human sciences.	McCloskey, Deirdre N.	McCloskey, Deirdre N. | Rhetoric of the human sciences.		http://example.org/1335204#Work830-27	blank
The ring of time : the story of the British Columbia Provincial Museum /	Corley-Smith, Peter, 1923-	Corley-Smith, Peter, 1923- | The ring of time : the story of the British Columbia Provincial Museum /		http://example.org/1335386#Work	blank
Special publication (British Columbia Provincial Museum) ;	Corley-Smith, Peter, 1923-	Corley-Smith, Peter, 1923- | Special publication (British Columbia Provincial Museum) ;		http://example.org/1335386#Work830-25	blank
Lézarde. English	Glissant, Édouard, 1928-2011.	Glissant, Édouard, 1928-2011. | Lézarde. English		http://example.org/1362284#Work	blank
Caribbean writers series. ;	Glissant, Édouard, 1928-2011.	Glissant, Édouard, 1928-2011. | Caribbean writers series. ;		http://example.org/1362284#Work830-26	blank
Thermodynamics and an introduction to thermostatistics /	Callen, Herbert B.	Callen, Herbert B. | Thermodynamics and an introduction to thermostatistics	306896081	http://example.org/1399696#Work	blank
Thermostatistics.		 | Thermostatistics.		http://example.org/1399696#Work740-25	blank
The Saami in Finland : some observations /	Sillanpaa, Len.	Sillanpaa, Len. | The Saami in Finland : some observations /		http://example.org/1409929#Work	blank
Thesaurus linguae Etruscae, indice lessicale : ordinamento inverso dei lemmi /	Pallottino, Massimo.	Pallottino, Massimo. | Thesaurus linguae Etruscae, indice lessicale : ordinamento inverso dei lemmi /		http://example.org/1369676#Work	blank
The search for community : from utopia to a co-operative society /	Melnyk, George.	Melnyk, George. | The search for community : from utopia to a co-operative society /		http://example.org/1375836#Work	blank
The special educator's almanac : ready-to-use activities for a resource room or a self-contained classroom /	Elman, Natalie Madorsky.	Elman, Natalie Madorsky. | The special educator's almanac : ready-to-use activities for a resource room or a self-contained classroom /		http://example.org/1339762#Work	blank
Ready-to-use activities for a resource room or self-contained classroom.		 | Ready-to-use activities for a resource room or self-contained classroom.		http://example.org/1339762#Work740-26	blank
The sumptuous basket : Chinese lacquer with basketry panels /	Watt, James C. Y.	Watt, James C. Y. | The sumptuous basket : Chinese lacquer with basketry panels /		http://example.org/1403186#Work	blank
The teaching of science and technology in an interdisciplinary context : proceedings of a Nordic workshop, Kollekolle, June 7-10, 1985 /	Nordic Workshop on the Teaching of Science and Technology in an Interdisciplinary Context (1985 : Kollekolle, Denmark)	Nordic Workshop on the Teaching of Science and Technology in an Interdisciplinary Context (1985 : Kollekolle, Denmark) | The teaching of science and technology in an interdisciplinary context : proceedings of a Nordic workshop, Kollekolle, June 7-10, 1985 /		http://example.org/1355247#Work	blank
