Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
Clyne, Jim	278848728	278848728	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Clyne,%20Jim.	http://example.org/1371885#Agent700-22		
Sitwell, Edith, 1887-1964	29549983	29549983	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Walton,%20William,%201902-1983.	http://example.org/1373011#Agent100-13		
Sitwell, Edith, 1887-1964	29549983	29549983	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sitwell,%20Edith,%201887-1964.	http://example.org/1373011#Agent700-32		
Wilde, Oscar, 1854-1900.	34464414	34464414	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Strauss,%20Richard,%201864-1949.	http://example.org/1373011#Agent700-33	158417649	
Scriabin, Aleksandr Nikolayevich, 1872-1915	71579242	71579242	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Scriabin,%20Aleksandr%20Nikolayevich,%201872-1915.	http://example.org/1373011#Agent700-34		
Nielsen, Carl, 1865-1931.	197250	197250	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nielsen,%20Carl,%201865-1931.	http://example.org/1373011#Agent700-35		
Kapp, Richard, 1936-....	85558022	125361781	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Chicago%20Pro%20Musica.,	http://example.org/1373011#Agent710-36	125361781	
Deepak, B.R.	47051166	47051166	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ram,%20Bali.	http://example.org/1295879#Agent100-16		
Romaniuk, Anatole.	41940820	41940820	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Romani͡uk,%20A.	http://example.org/1295879#Agent700-30		
Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch.		153531599	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Indian%20and%20Northern%20Affairs%20Canada.%20Corporate%20Policy. %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Research%20Branch.	http://example.org/1295879#Agent710-31	153531599	
Canada. Dept. of Indian Affairs and Northern Development.		133449591	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Dept.%20of%20Indian%20Affairs%20and%20Northern %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Development.	http://example.org/1295879#Agent710-32	133449591	
Corak, Miles	22423183	157810330	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Statistics%20Canada.	http://example.org/1295879#Agent710-33	157810330	
Yang, Emoretta	11653704	11653704	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Yang,%20Emoretta.	http://example.org/1346663#Agent100-10		
Korf, Kumi	9193919	9193919	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Korf,%20Kumi.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Korf,%20Kumi.		http://example.org/1346663#Agent600-20
Korf, Kumi	9193919	9193919	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Korf,%20Kumi.	http://example.org/1346663#Agent700-22		
Weis, Elisabeth, 1944-....	15016108	15016108	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Weis,%20Elisabeth,%201944-	http://example.org/1375638#Agent700-26		
Belton, John.	36985036	36985036	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Belton,%20John.	http://example.org/1375638#Agent700-27		
Franck, Irène M.	5214628	5214628	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Franck,%20Irene%20M.	http://example.org/1000802#Agent100-12		
Brownstone, David M.	22425527	22425527	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brownstone,%20David%20M.	http://example.org/1000802#Agent700-29		
Grunsell, Rob	248841726	248841726	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Grunsell,%20Rob.	http://example.org/1309360#Agent100-14		
Great Britain. School Curriculum Development Committee.		132351052	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Great%20Britain.%20School%20Curriculum%20Development %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Committee.	http://example.org/1309360#Agent710-26	132351052	
Fraser, George Macdonald, 1925-2008	49225680	49225680	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fraser,%20George%20MacDonald,%201925-2008.	http://example.org/1348705#Agent100-13		
Kobayashi, Terry, 1939-....	104067338	104067338	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kobayashi,%20Terry,%201939-	http://example.org/1386728#Agent100-13		
Bird, Michael S., 1941-....	45553457	45553457	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bird,%20Michael%20S.,%201941-	http://example.org/1386728#Agent700-25		
Sheridan, Richard Brinsley, 1751-1816.	9922178	9922178	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Price,%20Elizabeth.	http://example.org/1386728#Agent700-26		
