Column 1	id	Column 2	Column 3	Column 4	Column 1
Museum Assistance Programmes (Canada)	125409923	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Museum%20Assistance%20Programmes%20(Canada)	http://example.org/1405299#Agent710-28	Museum Assistance Programmes (Canada)
Hagen-Quartett.	130704283	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schubert,%20Franz,%201797-1828.	http://example.org/1345022#Agent100-14	Hagen-Quartett.
Maser, Werner, 1922-2007.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Maser,%20Werner,%201922-2007.	http://example.org/1345022#Agent700-25	Maser, Werner, 1922-2007.
Elisseeff, Danielle.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Elisseeff,%20Danielle.	http://example.org/1001312#Agent100-15	Elisseeff, Danielle.
Elisseeff, Vadime.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Elisseeff,%20Vadime.	http://example.org/1001312#Agent700-29	Elisseeff, Vadime.
Centre national du livre France	144330789	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Centre%20national%20des%20lettres.	http://example.org/1001312#Agent710-30	Centre national du livre France
Veltruský, Jarmila F.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Veltruský,%20Jarmila%20F.	http://example.org/1300143#Agent100-13	Veltruský, Jarmila F.
Edmonton Public School Board. Learning Resources Services	156068611	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Edmonton%20Public%20School%20Board.%20Instructional%20Services %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.	http://example.org/1375614#Agent710-20	Edmonton Public School Board. Learning Resources Services
Wormith, J. S.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wormith,%20J.%20S.	http://example.org/1343658#Agent100-10	Wormith, J. S.
Borzecki, Mark.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Borzecki,%20Mark.	http://example.org/1343658#Agent700-24	Borzecki, Mark.
Royal Canadian Mounted Police	127482874	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.	http://example.org/1343658#Agent710-25	Royal Canadian Mounted Police
