Column 1	fname	lname	ID	Column 2	Column 3
Kuchar, Roman Mychajlovyč 1920-2007	 R	Volodymyr	46328240	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Volodymyr,%20R.,%201920-2007
Tatchyn, Roman Orest	 Roman Orest	Tatchyn	93930666	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Tatchyn,%20Roman%20Orest.
Schömel, Wolfgang 1952-...	 Wolfgang	Schömel	275613384	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schömel,%20Wolfgang.
Keyfitz, Nathan, 1913-2010	 Nathan	Keyfitz	39450329	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Keyfitz,%20Nathan,%201913-2010.
Gerald, Curtis F., 1915-....	 Curtis F	Gerald	37012472	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gerald,%20Curtis%20F.,%201915-
Wheatley, Patrick O.	 Patrick O	Wheatley	166773338	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wheatley,%20Patrick%20O.
Bruce, C. J. (Christopher J.), 1948-	 C J (Christopher J)	Bruce	60687108	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruce,%20C.%20J.%20(Christopher%20J.),%201948-
Madison, James, 1751-1836	 William A (William Alexander)	Kerr	59096754	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kerr,%20William%20A.%20(William%20Alexander)
University of Calgary. Dept. of Economics.		University of Calgary Dept of Economics		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Calgary.%20Dept.%20of%20Economics.
Dixit, Avinash K.	 K N	Dikshit	108362952	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dikshit,%20K.%20N.
Dikshit, K. N.		Indian Archaeological Society	12348262	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Indian%20Archaeological%20Society.
Wranitzky, Paul, 1756-1808	 Robert E	Ackerman	27330009	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ackerman,%20Robert%20E.
Young, Deborah A.	 Deborah A	Young	68107793	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Young,%20Deborah%20A.
Diviney, David		Art Gallery of Nova Scotia	309723715	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Art%20Gallery%20of%20Nova%20Scotia.
Museum Assistance Programmes (Canada)		Museum Assistance Programmes (Canada)		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Museum%20Assistance%20Programmes%20(Canada)
Tchaikovsky, Peter Ilich, 1840-1893	 Franz	Schubert	99258155	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schubert,%20Franz,%201797-1828.
Maser, Werner, 1922-2007	 Werner	Maser	108851099	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Maser,%20Werner,%201922-2007.
Elisseeff, Danielle, 1938-....	 Danielle	Elisseeff	91387309	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Elisseeff,%20Danielle.
Elisseeff, Danielle, 1938-....	 Vadime	Elisseeff	91387309	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Elisseeff,%20Vadime.
Vercors, 1902-1991		Centre national des lettres	54122148	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Centre%20national%20des%20lettres.
Veltruský, Jarmila F. (1937- ).	 Jarmila F	Veltruský	75277808	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Veltruský,%20Jarmila%20F.
Edmonton Public School Board. Instructional Services Division.		Edmonton Public School Board Instructional Services Division		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Edmonton%20Public%20School%20Board.%20Instructional%20Services %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.
Wormith, J. S.	 J S	Wormith	11421423	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wormith,%20J.%20S.
Borzecki, Mark	 Mark	Borzecki	63152363	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Borzecki,%20Mark.
Canada. Ministry of the Solicitor General.		Canada Ministry of the Solicitor General		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.
Canada. Ministry of the Solicitor General. Programs Branch.		Canada Ministry of the Solicitor General Programs Branch		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.
Mintz, Morton	 Morton	Mintz	12838687	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Mintz,%20Morton.
Bü̈hler, Karl, 1879-1963	 Kazimierz	Polański	100181212	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Polański,%20Kazimierz,%201929-
Bémová, Alla	 Alla	Bémová	65494905	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bémová,%20Alla.
