Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Holbrook, William Collar, 1899-	166818056	166818056	1.0	Holbrook, William Collar, 1899- 			Person		http://example.org/1093034#Agent700-23
Wise, Thomas James, 1859-1937	32803197	32803197	1.0	Wise, Thomas James, 1859-1937			Person		http://example.org/101394#Agent100-9
Swinburne, Algernon Charles, 1837-1909	41846937	41846937	0.9743589743589743	Swinburne, Algernon Charles, 1837-1909			Person		http://example.org/101394#Agent600-19
Morley, William F. E	311312573	311312573	0.9523809523809523	Morley, William F. E			Person		http://example.org/1044324#Agent100-10
Richardson, Major (John), 1796-1852	39386255	39386255	1.0	Richardson, Major (John), 1796-1852			Person		http://example.org/1044324#Agent600-18
Hopkinson, Cecil	71477772	71477772	0.9411764705882353	Hopkinson, Cecil			Person		http://example.org/1082003#Agent100-10
Field, John, 1782-1837	56796078	56796078	1.0	Field, John, 1782-1837			Person		http://example.org/1082003#Agent600-18
Schwartz, Eugene S., 1917-	2014310	2014310	1.0	Schwartz, Eugene S., 1917-			Person		http://example.org/1013237#Agent100-9
Illinois Library Materials Processing Center				Illinois Library Materials Processing Center			Organization		http://example.org/1013237#Agent610-18
Saxe, Henry I			;	Saxe, Henry I			Person		http://example.org/1013237#Agent700-20
Shaw, Robert Baldwin, 1945-				Shaw, Robert Baldwin, 1945-			Person		http://example.org/1025841#Agent100-11
Sklar, Richard L	9892529	9892529	0.9411764705882353	Sklar, Richard L			Person		http://example.org/1025841#Agent700-24
Cowley, J. D. (John Duncan), 1897-1944			;	Cowley, J. D. (John Duncan), 1897-1944			Person		http://example.org/105738#Agent100-11
Selden Society		143038172	;	Selden Society	143038172	1.0	Organization		http://example.org/105738#Agent710-21
International African Institute		302018719	;	International African Institute	302018719	0.96875	Organization		http://example.org/1081267#Agent110-11
Gaskin, L. J. P			;	Gaskin, L. J. P			Person		http://example.org/1081267#Agent700-21
Matthes, H. (Hubert)	45312793	45312793	1.0	Matthes, H. (Hubert)			Person		http://example.org/107676#Agent100-12
Food and Agriculture Organization of the United Nations		148396178	;	Food and Agriculture Organization of the United Nations	148396178	0.9821428571428571	Organization		http://example.org/107676#Agent710-22
Cordasco, Francesco, 1920-2001	108695673	108695673	1.0	Cordasco, Francesco, 1920-2001			Person		http://example.org/109852#Agent700-20
Brickman, William W	11193740	11193740	0.95	Brickman, William W			Person		http://example.org/109852#Agent700-21
Binder, Frederick M	91259424	91259424	0.95	Binder, Frederick M			Person		http://example.org/109852#Agent700-22
Aristotle	7524651	7524651	1.0	Aristotle			Person		http://example.org/1090047#Agent600-23
Cranz, F. Edward (Ferdinand Edward)	24725019	24725019	1.0	Cranz, F. Edward (Ferdinand Edward)			Person		http://example.org/1090047#Agent700-24
Dotan, Uri	164393472	164393472	1.0	Dotan, Uri			Person		http://example.org/1051012#Agent100-13
Crew, Vernon	73545933	73545933	1.0	Crew, Vernon			Person		http://example.org/1071019#Agent100-13
National Library of Australia		136194678	;	National Library of Australia	136194678	0.9666666666666667	Organization		http://example.org/1071019#Agent710-22
Australian Association of Adult Education		131072975		Australian Association of Adult Education	131072975	0.926829268292683	Organization		http://example.org/1071019#Agent710-23
Barden, E. S				Barden, E. S			Person		http://example.org/1077821#Agent700-17
Shields, Allan	18891395	18891395	0.9333333333333333	Shields, Allan			Person		http://example.org/105890#Agent100-9
Lowther, Barbara J			;	Lowther, Barbara J			Person		http://example.org/104218#Agent100-13
Gross, Charles, 1857-1909	100179930	100179930	1.0	Gross, Charles, 1857-1909			Person		http://example.org/1070508#Agent100-12
Ottley, George	9957202	9957202	1.0	Ottley, George			Person		http://example.org/1007138#Agent100-14
Delancey, Virginia H. (Virginia Helen)	75254896	75254896	1.0	Delancey, Virginia H. (Virginia Helen)			Person		http://example.org/1026518#Agent100-11
DeLancey, Mark			;	DeLancey, Mark			Person		http://example.org/1026518#Agent700-21
African Studies Association. Literature Committee		133772798		African Studies Association. Literature Committee	133772798	0.9183673469387755	Organization		http://example.org/1026518#Agent810-22
Smith, Albert Henry, 1909-	93302070	93302070	0.9615384615384616	Smith, Albert Henry, 1909-			Person		http://example.org/1055789#Agent100-11
Monty, Vivienne	32221222	32221222	1.0	Monty, Vivienne			Person		http://example.org/1054762#Agent100-12
Canada. Taxation		159083118	;	Canada. Taxation	159083118	1.0	Jurisdiction		http://example.org/1054762#Agent610-21
Marantz, Kenneth A	49341326	49341326	0.9473684210526315	Marantz, Kenneth A			Person		http://example.org/1076675#Agent100-11
Hammer, John H	68477503	68477503	0.9333333333333333	Hammer, John H			Person		http://example.org/1089108#Agent100-12
Gage, William W	3715850	3715850	0.9375	Gage, William W			Person		http://example.org/1089108#Agent700-23
Rice, Frank A	266461888	266461888	0.9285714285714286	Rice, Frank A			Person		http://example.org/1089108#Agent700-24
Center for Applied Linguistics		196588359	;	Center for Applied Linguistics	196588359	0.967741935483871	Organization		http://example.org/1089108#Agent710-25
Roueche, John E	11138185	11138185	0.9375	Roueche, John E			Person		http://example.org/1066693#Agent100-13
American Association of Junior Colleges		131754591		American Association of Junior Colleges	131754591	0.9230769230769231	Organization		http://example.org/1066693#Agent710-24
Little, Lawrence Calvin, 1897-	63551955	63551955	0.8823529411764706	Little, Lawrence Calvin, 1897-			Person		http://example.org/1071722#Agent100-13
Sonneck, O. G. (Oscar George), 1873-1928	59210528	59210528	1.0	Sonneck, O. G. (Oscar George), 1873-1928			Person		http://example.org/1074110#Agent100-15
Upton, William Treat, 1870-1961	73423604	73423604	1.0	Upton, William Treat, 1870-1961			Person		http://example.org/1074110#Agent700-27
Cross, Lowell M	73902995	73902995	0.9375	Cross, Lowell M			Person		http://example.org/1074130#Agent100-14
Tarr, Rodger L	274194253	274194253	1.0	Tarr, Rodger L			Person		http://example.org/1070841#Agent100-9
Carlyle, Thomas, 1795-1881	39390702	39390702	0.9629629629629629	Carlyle, Thomas, 1795-1881			Person		http://example.org/1070841#Agent600-19
Dana, Richard E			;	Dana, Richard E			Person		http://example.org/1070841#Agent700-20
Masui, Mitsuzō, 1885-1967			;	Masui, Mitsuzō, 1885-1967			Person		http://example.org/1015460#Agent100-11
Massé, Gerturde C. E				Massé, Gerturde C. E			Person		http://example.org/1085000#Agent100-10
Crane, Walter, 1845-1915	74022344	74022344	1.0	Crane, Walter, 1845-1915			Person		http://example.org/1085000#Agent600-18
Keynes, Geoffrey, 1887-1982	68944675	68944675	1.0	Keynes, Geoffrey, 1887-1982			Person		http://example.org/103112#Agent100-10
Berkeley, George, 1685-1753	100192823	100192823	0.9642857142857143	Berkeley, George, 1685-1753			Person		http://example.org/103112#Agent600-19
Jessop, T. E. (Thomas Edmund), 1896-1980	59124727	59124727	1.0	Jessop, T. E. (Thomas Edmund), 1896-1980			Person		http://example.org/1012430#Agent100-12
Berkeley, George, 1685-1753	100192823	100192823	0.9642857142857143	Berkeley, George, 1685-1753			Person		http://example.org/1012430#Agent600-22
Luce, A. A. (Arthur Aston), 1882-1977	110331666	110331666	1.0	Luce, A. A. (Arthur Aston), 1882-1977			Person		http://example.org/1012430#Agent700-23
Packard, David W	70175457	70175457	0.9411764705882353	Packard, David W			Person		http://example.org/101575#Agent100-11
Homer	224924963	224924963	0.8333333333333334	Homer			Person		http://example.org/101575#Agent600-20
Meyers, Tania	195379684	195379684	1.0	Meyers, Tania			Person		http://example.org/101575#Agent700-21
University of British Columbia. Asian Studies Division		137123933		University of British Columbia. Asian Studies Division	137123933	0.8571428571428571	Organization		http://example.org/1011501#Agent110-11
University of British Columbia. Asian Studies Division		137123933		University of British Columbia. Asian Studies Division	137123933	0.8571428571428571	Jurisdiction		http://example.org/1011501#Agent810-24
Waheed, K. Abdul				Waheed, K. Abdul	56149366198585601236	1.0	Person		http://example.org/1099022#Agent100-10
Iqbal, Muhammad, Sir, 1877-1938			;	Iqbal, Muhammad, Sir, 1877-1938			Person		http://example.org/1099022#Agent600-19
D'Elia, Alberto (Alberto Leo)	88902613	88902613	1.0	D'Elia, Alberto (Alberto Leo)			Person		http://example.org/1092786#Agent100-10
Russo, Anthony J., -1940	69299230	69299230	1.0	Russo, Anthony J., -1940			Person		http://example.org/10141#Agent100-11
Riley, James Whitcomb, 1849-1916	77111882	77111882	1.0	Riley, James Whitcomb, 1849-1916			Person		http://example.org/10141#Agent600-20
Russo, Dorothy R. (Dorothy Ritter), 1900-	61937327	61937327	1.0	Russo, Dorothy R. (Dorothy Ritter), 1900- 			Person		http://example.org/10141#Agent700-21
Merriam, Alan P., 1923-1980	73970804	73970804	1.0	Merriam, Alan P., 1923-1980			Person		http://example.org/1081953#Agent100-13
Doran, Jennie Elliot				Doran, Jennie Elliot			Person		http://example.org/1013902#Agent100-9
Muir, John, 1838-1914	68933311	68933311	0.9545454545454546	Muir, John, 1838-1914			Person		http://example.org/1013902#Agent600-19
Bradley, Cornelius Beach, 1843-1936	73779910	73779910	1.0	Bradley, Cornelius Beach, 1843-1936			Person		http://example.org/1013902#Agent700-20
Sierra Club		136110847	;	Sierra Club	136110847	0.9090909090909091	Organization		http://example.org/1013902#Agent710-21
Gropp, Arthur E., 1902-1997	109303128	109303128	1.0	Gropp, Arthur E., 1902-1997			Person		http://example.org/109136#Agent100-10
Tollers, Vincent L	11404141	11404141	0.9473684210526315	Tollers, Vincent L			Person		http://example.org/1056688#Agent100-12
Arnold, Matthew, 1822-1888	73868557	73868557	0.9629629629629629	Arnold, Matthew, 1822-1888			Person		http://example.org/1056688#Agent600-20
Munro, William Bennett, 1875-1957	54285983	54285983	1.0	Munro, William Bennett, 1875-1957			Person		http://example.org/1052783#Agent100-11
Gushue, W. J				Gushue, W. J			Person		http://example.org/107737#Agent100-10
Singh, A			;	Singh, A			Person		http://example.org/107737#Agent700-19
Ward, Jack H	248050302	248050302	0.9230769230769231	Ward, Jack H			Person		http://example.org/1099410#Agent100-12
Gerber, Douglas E., 1933-	12428708	12428708	1.0	Gerber, Douglas E., 1933-			Person		http://example.org/1091354#Agent100-13
Pindar	100181310	100181310	1.0	Pindar			Person		http://example.org/1091354#Agent600-22
American Philological Association		122125936	;	American Philological Association	122125936	0.9393939393939394	Organization		http://example.org/1091354#Agent710-23
Cordeaux, E. H. (Edward Harold)	25952422	25952422	1.0	Cordeaux, E. H. (Edward Harold)			Person		http://example.org/1072738#Agent100-14
University of Oxford		142129514	;	University of Oxford	142129514	0.9523809523809523	Organization		http://example.org/1072738#Agent610-22
