Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Davis, John, 1961 September 24-	100324811	1	Person		http://example.org/6797101#Agent700-37	http://id.loc.gov/authorities/names/n95013033
Greenhill, Jennifer A., 1974-	220973755	1	Person		http://example.org/6797101#Agent700-38	http://id.loc.gov/authorities/names/n2011088813
LaFountain, Jason David	305456340	0.9565217391304348	Person		http://example.org/6797101#Agent700-39	http://id.loc.gov/authorities/names/no2013131581
Hartwig, Melinda K	35398239	0.9473684210526315	Person		http://example.org/6774274#Agent700-34	http://id.loc.gov/authorities/names/no2005025265
Juhasz, Alexandra	298262881	1	Person		http://example.org/6810977#Agent700-27	http://id.loc.gov/authorities/names/n92803216
Lebow, Alisa	51306142	1	Person		http://example.org/6810977#Agent700-28	http://id.loc.gov/authorities/names/no98067279
Hammer, Dean, 1959-	37138249	1	Person		http://example.org/6706343#Agent700-36	http://id.loc.gov/authorities/names/n97032160
Livy	99942145	0.8	Person		http://example.org/6720281#Agent600-36	
Mineo, Bernard	46990193	0.9333333333333333	Person		http://example.org/6720281#Agent700-40	http://id.loc.gov/authorities/names/n2007015785
Livy	99942145	0.8	Person		http://example.org/6798519#Agent600-30	
Mineo, Bernard	46990193	0.9333333333333333	Person		http://example.org/6798519#Agent700-34	http://id.loc.gov/authorities/names/n2007015785
Scorsese, Martin	111716145	1	Person		http://example.org/6706321#Agent600-31	http://id.loc.gov/authorities/names/n81050379
Baker, Aaron			Person		http://example.org/6706321#Agent700-32	http://id.loc.gov/authorities/names/no94038344
Baker, Michael Brendan	102864590	1	Person		http://example.org/6706321#Agent700-33	http://id.loc.gov/authorities/names/no2010072325
Reagan, Ronald	76321889	1	Person		http://example.org/6855772#Agent600-37	
Johns, Andrew L., 1968-	119489476	0.8518518518518519	Person		http://example.org/6855772#Agent700-40	http://id.loc.gov/authorities/names/n2006009145
O'Connell, Claire Babcock	78148771	1	Person		http://example.org/6709732#Agent700-34	http://id.loc.gov/authorities/names/n2003005171
American Academy of Physician Assistants			Organization		http://example.org/6709732#Agent710-35	http://id.loc.gov/authorities/names/n81019872
Physician Assistant Education Association			Organization		http://example.org/6709732#Agent710-36	http://id.loc.gov/authorities/names/nb2006026758
Chang, Myong-Hun	313284814	1	Person		http://example.org/6802958#Agent100-23	http://id.loc.gov/authorities/names/n2014078939
Hackshaw, Allan K	78196744	0.9444444444444444	Person		http://example.org/6797135#Agent100-19	http://id.loc.gov/authorities/names/n2005184919
Walker, Brett L			Person		http://example.org/6849283#Agent100-14	http://id.loc.gov/authorities/names/n2001057107
Mason, David S. (David Stewart), 1947-	24667403	1	Person		http://example.org/6802858#Agent100-24	http://id.loc.gov/authorities/names/n84202118
Creswell, John W	88573974	0.9411764705882353	Person		http://example.org/6740958#Agent100-15	http://id.loc.gov/authorities/names/n85296479
Beebe, Steven A., 1950-	7754149068465865730000	0.9565217391304348	Person		http://example.org/6698066#Agent100-17	http://id.loc.gov/authorities/names/n81088716
Beebe, Susan J	58206773	0.9333333333333333	Person		http://example.org/6698066#Agent700-29	http://id.loc.gov/authorities/names/n89125708
Parascandola, Louis J., 1952-	115507174	1	Person		http://example.org/6803154#Agent700-33	http://id.loc.gov/authorities/names/n95112710
Parascandola, John, 1941-	93514289	0.8620689655172413	Person		http://example.org/6803154#Agent700-34	http://id.loc.gov/authorities/names/n82148596
O'Connor, Kieron Philip	29629529	1	Person		http://example.org/6812939#Agent100-18	http://id.loc.gov/authorities/names/n89143640
Wetering, Ernst van de, 1938-	116386205	0.9333333333333333	Person		http://example.org/6791877#Agent100-19	http://id.loc.gov/authorities/names/no98007886
Rembrandt Harmenszoon van Rijn, 1606-1669	64013650	0.9761904761904762	Person		http://example.org/6791877#Agent600-31	
Nes, Carin van	176149366343185601854	1	Person		http://example.org/6791877#Agent700-32	
