Column 1	uri	test	Column 3	acc	Column 5
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/k2/25/b4/c0k225b465	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c1/g0/5f/b8/c1g05fb82p		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c1/j9/2g/76/c1j92g7617		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/47/dt/59/c247dt59m	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/47/dw/29/c247dw299		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/47/dw/35/c247dw35f		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/r3/6t/x7/c2r36tx70n	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c3/48/4z/h2/c3484zh212		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c3/n2/03/z1/c3n203z198		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c8/33/6h/21/c8336h214s	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c8/s4/5q/91/c8s45q9124	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cb/v7/3c/07/cbv73c0738		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
