s,m
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/35/44558r35n,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/86/44558r864,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/87/44558r87d,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/88/44558r88p,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/89/44558r89z,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/90/44558r90q,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/91/44558r910,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/92/44558r928,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/93/44558r93j,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/94/44558r94t,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/95/44558r953,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/96/44558r96c,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/97/44558r97n,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/98/44558r98x,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8r/99/44558r996,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/00/44558s00r,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/01/44558s011,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/02/44558s029,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/03/44558s03k,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/04/44558s04v,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/05/44558s054,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/06/44558s06d,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/07/44558s07p,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/08/44558s08z,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/09/44558s097,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/10/44558s100,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/11/44558s118,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/12/44558s12j,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/13/44558s13t,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/14/44558s143,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/15/44558s15c,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/16/44558s16n,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/17/44558s17x,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/18/44558s186,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/19/44558s19g,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/20/44558s207,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/21/44558s21h,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/22/44558s22s,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/23/44558s232,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8s/24/44558s24b,IRCollection
