Column 1	LC-ID	match-ID	score	VIAF-C	VIAF-IDC	score-c	org	Column 3	Column 4	blank
Willmot, Peter.				Willmot, Peter.			Person		http://example.org/1027866#Agent100-11	
Robinson, Edgar Eugene, 1887-1977.	24978052	24978052	0.9705882353	Robinson, Edgar Eugene, 1887-1977.			Person		http://example.org/1045686#Agent100-11	
Nietz, John Alfred, 1888-	239503906	239503906	1	Nietz, John Alfred, 1888-			Person		http://example.org/1081860#Agent100-11	
Henretta, James A.	9892540	9892540	1	Henretta, James A.			Person		http://example.org/1024426#Agent100-14	
Cherry, Gordon Emanuel.	108604292	108604292	0.9565217391	Cherry, Gordon Emanuel.			Person		http://example.org/1055279#Agent100-15	
Royal Town Planning Institute.		137716786		Royal Town Planning Institute.	137716786	1	Organization		http://example.org/1055279#Agent610-24	
Larocque, Paul Thomas Francis.				Larocque, Paul Thomas Francis.			Person		http://example.org/107364#Agent100-10	
Nicolson, Harold George, Sir, 1886-1968.				Nicolson, Harold George, Sir, 1886-1968.			Person		http://example.org/1054566#Agent100-10	
Gordon, Richard L., 1934-	108754387	108754387	0.8620689655	Gordon, Richard L., 1934-			Person		http://example.org/1005297#Agent100-12	
Phillips, Jean Odessa Davis, 1936-.				Phillips, Jean Odessa Davis, 1936-.			Person		http://example.org/1075761#Agent100-10	
Smith, William, 1859-1932.				Smith, William, 1859-1932.			Person		http://example.org/1046010#Agent100-11	
Doughty, Arthur G. (Arthur George), Sir, 1860-1936.	61911790	61911790	0.9803921569	Doughty, Arthur G. (Arthur George), Sir, 1860-1936.			Person		http://example.org/1046010#Agent700-20	
Simpson, Chas. W. (Charles Walter), 1885-	14642444	14642444	1	Simpson, Chas. W. (Charles Walter), 1885-			Person		http://example.org/1046010#Agent700-21	
Von Maltitz, Horst, 1905-.	311786776	311786776	0.8620689655	Von Maltitz, Horst, 1905-.			Person		http://example.org/1004688#Agent100-15	
Hitler, Adolf, 1889-1945.	38190770	38190770	1	Hitler, Adolf, 1889-1945.			Person		http://example.org/1004688#Agent600-23	
Poggie, John J.,	92390498	92390498	0.9375	Poggie, John J.,			Person		http://example.org/104551#Agent100-11	
Pelto, Gretel H.	61595370	61595370	1	Pelto, Gretel H.			Person		http://example.org/104551#Agent700-20	
Pelto, Pertti J.	64022717	64022717	1	Pelto, Pertti J.			Person		http://example.org/104551#Agent700-21	
Stenhouse, David.	108724934	108724934	1	Stenhouse, David.			Person		http://example.org/1021186#Agent100-12	
Schott, Francis H.	34051173	34051173	1	Schott, Francis H.			Person		http://example.org/1020980#Agent100-10	
Christensen, Asher Norman, 1903- ,	1.89145542459897E+020	1.89145542459897E+020	0.8888888889	Christensen, Asher Norman, 1903- ,			Person		http://example.org/1047004#Agent100-10	
Karst, Kenneth L.	17301142	17301142	1	Karst, Kenneth L.			Person		http://example.org/1021013#Agent100-13	
Schwartz, Murray L.,	237218858	237218858	0.95	Schwartz, Murray L.,			Person		http://example.org/1021013#Agent700-24	
Schwartz, Audrey James,	33238599	33238599	0.9565217391	Schwartz, Audrey James,			Person		http://example.org/1021013#Agent700-25	
Girvetz, Harry K., 1910-1974.	91552282	91552282	0.8620689655	Girvetz, Harry K., 1910-1974.			Person		http://example.org/1025783#Agent100-15	
Bloomfield, G. T. (Gerald Taylor)	280021170	280021170	1	Bloomfield, G. T. (Gerald Taylor)			Person		http://example.org/1070613#Agent100-13	
Bibby, Cyril.	79053520	79053520	1	Bibby, Cyril.			Person		http://example.org/1049146#Agent100-10	
Carlile, William Warrand.	240350074	240350074	0.96	Carlile, William Warrand.			Person		http://example.org/1015687#Agent100-10	
Hammacher, Abraham Marie, 1897-2002.	108745651	108745651	0.9444444444	Hammacher, Abraham Marie, 1897-2002.			Person		http://example.org/1084419#Agent100-13	
Ederer, Rupert J.	85298918	85298918	1	Ederer, Rupert J.			Person		http://example.org/1015691#Agent100-10	
Bairstow, Edward C. (Edward Cuthbert), 1874-1946.	5121870	5121870	0.9795918367	Bairstow, Edward C. (Edward Cuthbert), 1874-1946.			Person		http://example.org/1076040#Agent100-10	
Casella, Alfredo, 1883-1947.	56681456	56681456	0.9642857143	Casella, Alfredo, 1883-1947.			Person		http://example.org/1083030#Agent100-10	
Rubbra, Edmund, 1901-1986.	197526	197526	0.9615384615	Rubbra, Edmund, 1901-1986.			Person		http://example.org/1083030#Agent700-21	
Swanton, John Reed, 1873-1958.	41912840	41912840	0.9666666667	Swanton, John Reed, 1873-1958.			Person		http://example.org/1041905#Agent100-10	
Institute for Strategic Studies (London, England)		154226305		Institute for Strategic Studies (London, England)	154226305	1	Organization		http://example.org/1062736#Agent110-10	
North Atlantic Treaty Organization.		148423701		North Atlantic Treaty Organization.	148423701	0.9714285714	Organization		http://example.org/1062736#Agent610-21	
Pollard, A. F. (Albert Frederick), 1869-1948.	22293428	22293428	0.9555555556	Pollard, A. F. (Albert Frederick), 1869-1948.			Person		http://example.org/1048196#Agent100-12	
Great Britain. Parliament		148513878		Great Britain. Parliament	148513878	1	Jurisdiction		http://example.org/1048196#Agent610-20	
Great Britain. Parliament		148513878		Great Britain. Parliament	148513878	1	Jurisdiction		http://example.org/1048196#Agent610-21	
Tucker, Donald Skeele, 1884-	113077227	113077227	0.8214285714	Tucker, Donald Skeele, 1884-			Person		http://example.org/1018467#Agent100-11	
Schulze-Delitzsch, Hermann, 1808-1883.	50021033	50021033	0.9736842105	Schulze-Delitzsch, Hermann, 1808-1883.			Person		http://example.org/1018467#Agent600-22	
Jones, Arthur Griffith, 1913-	69866755	69866755	0.8787878788	Jones, Arthur Griffith, 1913-			Person		http://example.org/1054658#Agent100-11	
Werge, John.	306172249	306172249	0.9166666667	Werge, John.			Person		http://example.org/1065899#Agent100-13	
Conference on Middle Eastern Affairs. 9th, Washington, D.C., 1955.				Conference on Middle Eastern Affairs. 9th, Washington, D.C., 1955.			Meeting		http://example.org/1050176#Agent111-11	
Hall, harvey Porter,	288039972	288039972	0.9	Hall, harvey Porter,			Person		http://example.org/1050176#Agent700-21	
Hyndman, H. M. (Henry Mayers), 1842-1921.	39429376	39429376	0.9512195122	Hyndman, H. M. (Henry Mayers), 1842-1921.			Person		http://example.org/1024229#Agent100-11	
McConnell, John Wilkinson, 1907-	37992732	37992732	1	McConnell, John Wilkinson, 1907-			Person		http://example.org/1034147#Agent100-11	
American Council on Public Affairs.		136773435		American Council on Public Affairs.	136773435	0.9714285714	Organization		http://example.org/1034147#Agent710-24	
Spencer, Herbert, 1820-1903.	27074806	27074806	1	Spencer, Herbert, 1820-1903.			Person		http://example.org/1024815#Agent100-17	
Carneiro, Robert L. (Robert Leonard), 1927- ,	37015458	37015458	0.9333333333	Carneiro, Robert L. (Robert Leonard), 1927- ,			Person		http://example.org/1024815#Agent700-30	
Osborn, Robert J.	14364191	14364191	1	Osborn, Robert J.			Person		http://example.org/1056744#Agent100-15	
Silvern, Leonard Charles, 1919-	25848679	25848679	1	Silvern, Leonard Charles, 1919-			Person		http://example.org/1079009#Agent100-11	
Gray, Malcolm R.	35882928	35882928	1	Gray, Malcolm R.			Person		http://example.org/101595#Agent100-9	
Lipsey, Richard G., 1928-	39484046	39484046	1	Lipsey, Richard G., 1928-			Person		http://example.org/101595#Agent700-20	
Asia Society.		130725541		Asia Society.	130725541	1	Organization		http://example.org/1080856#Agent110-10	
Rowland, Benjamin, 1904-1972.	8297553	8297553	0.9655172414	Rowland, Benjamin, 1904-1972.			Person		http://example.org/1080856#Agent700-19	
Asia House Gallery.		124830423		Asia House Gallery.	124830423	0.9473684211	Organization		http://example.org/1080856#Agent710-20	
Swainson, Neil A., 1919-	306064300	306064300	1	Swainson, Neil A., 1919-			Person		http://example.org/1069085#Agent100-11	
Canada.				Canada.			Jurisdiction		http://example.org/1069085#Agent610-22	
Reisner, Edward Hartman, 1885-				Reisner, Edward Hartman, 1885-			Person		http://example.org/1055871#Agent100-11	
Rubinstein, David.	100260358	100260358	0.9444444444	Rubinstein, David.			Person		http://example.org/1069517#Agent100-10	
Simon, Brian,				Simon, Brian,			Person		http://example.org/1069517#Agent700-21	
Neumann, Alfred Robert, 1921-.	191189874	191189874	0.9666666667	Neumann, Alfred Robert, 1921-.			Person		http://example.org/1070507#Agent100-9	
Wendell, Charles.				Wendell, Charles.			Person		http://example.org/1054778#Agent100-13	
al-Sayyid, Aḥmad Luṭfī, 1872-1963.	73847192	73847192	0.8823529412	al-Sayyid, Aḥmad Luṭfī, 1872-1963.			Person		http://example.org/1054778#Agent600-22	
Greenough, James C. (James Carruthers), 1829-				Greenough, James C. (James Carruthers), 1829-			Person		http://example.org/1057339#Agent100-11	
McKnight, George Harley, 1871-1951.	69666259	69666259	0.9714285714	McKnight, George Harley, 1871-1951.			Person		http://example.org/1095283#Agent100-12	
Emsley, Bert, 1889- ,				Emsley, Bert, 1889- ,			Person		http://example.org/1095283#Agent700-25	
Vanier, Jean, 1928-	99878746	99878746	0.8260869565	Vanier, Jean, 1928-			Person		http://example.org/1029577#Agent100-12	
Triffin, Robert.	260531392	260531392	0.9375	Triffin, Robert.			Person		http://example.org/1020872#Agent100-10	
Foster, J. Bristol.	60386484	60386484	1	Foster, J. Bristol.			Person		http://example.org/1071702#Agent100-10	
al-Razzāz, Munīf.				al-Razzāz, Munīf.			Person		http://example.org/1041688#Agent100-10	
Holmes, Dwight Oliver Wendell, 1877-1963.	49600134	49600134	0.9756097561	Holmes, Dwight Oliver Wendell, 1877-1963.			Person		http://example.org/1070697#Agent100-12	
Tamuno, Tekena N.	19691891	19691891	1	Tamuno, Tekena N.			Person		http://example.org/1051307#Agent100-15	
Rigo Sureda, A., 1943-	29108991	29108991	1	Rigo Sureda, A., 1943-			Person		http://example.org/1039102#Agent100-11	
United Nations.		144904638		United Nations.	144904638	1	Organization		http://example.org/1039102#Agent610-19	
MacKinnon, George Watson.				MacKinnon, George Watson.			Person		http://example.org/1067492#Agent100-10	
University of British Columbia		134507210		University of British Columbia	134507210	0.9677419355	Organization		http://example.org/1067492#Agent610-20	
Eldridge, H. J. (Herbert James)	160221488	160221488	1	Eldridge, H. J. (Herbert James)			Person		http://example.org/1014182#Agent100-10	
Haydon, Glen, 1896-1966.	29527430	29527430	0.9583333333	Haydon, Glen, 1896-1966.			Person		http://example.org/1083032#Agent100-10	
Avram, Benno.	6979852	6979852	1	Avram, Benno.			Person		http://example.org/1053532#Agent100-11	
Gottmann, Jean.	22181312	22181312	0.9333333333	Gottmann, Jean.			Person		http://example.org/1071916#Agent100-9	
Bouglé, Célestin Charles Alfred, 1870-1940.	54144769	54144769	0.976744186	Bouglé, Célestin Charles Alfred, 1870-1940.			Person		http://example.org/1021928#Agent100-10	
Sellars, Helen (Stalker), Mrs.,				Sellars, Helen (Stalker), Mrs.,			Person		http://example.org/1021928#Agent700-19	
Marvin, Francis Sydney, 1863-1943,	54278673	54278673	0.9705882353	Marvin, Francis Sydney, 1863-1943,			Person		http://example.org/1053559#Agent100-10	
League of Nations.		7.38144783182444E+020		League of Nations.	7.38144783182444E+020	1	Organization		http://example.org/1053559#Agent610-18	
Franzen, Ulrich, 1921-2012.	72236169	72236169	0.962962963	Franzen, Ulrich, 1921-2012.			Person		http://example.org/104637#Agent100-11	
Rudolph, Paul, 1918-1997,	161676	161676	0.96	Rudolph, Paul, 1918-1997,			Person		http://example.org/104637#Agent700-20	
Wolf, Peter M.,				Wolf, Peter M.,			Person		http://example.org/104637#Agent700-21	
Bellan, R. C. (Ruben Carl), 1918-	48003092	48003092	1	Bellan, R. C. (Ruben Carl), 1918-			Person		http://example.org/1030204#Agent100-19	
Rudy, Willis, 1920-	6176388	6176388	0.8260869565	Rudy, Willis, 1920-			Person		http://example.org/1071426#Agent100-10	
Columbia University. Teachers College. Institute of Higher Education.		138343062		Columbia University. Teachers College. Institute of Higher Education.	138343062	0.9855072464	Organization		http://example.org/1071426#Agent710-19	
Twitchett, Kenneth J.	52928771	52928771	1	Twitchett, Kenneth J.			Person		http://example.org/1055015#Agent100-13	
United Nations.		144904638		United Nations.	144904638	1	Organization		http://example.org/1055015#Agent610-23	
Hallo, William W.	22188218	22188218	1	Hallo, William W.			Person		http://example.org/1097640#Agent100-13	
Dijk, J. J. A. van,	86912614	86912614	0.9473684211	Dijk, J. J. A. van,			Person		http://example.org/1097640#Agent700-26	
Enheduanna.	10094476	10094476	0.9090909091	Enheduanna.			Person		http://example.org/1097640#Agent700-27	
Wrottesley, Frederic John, 1880-1948.	67918007	67918007	0.972972973	Wrottesley, Frederic John, 1880-1948.			Person		http://example.org/107109#Agent100-9	
