olac - dc:contributor	olac - dc:identifier
Urešová, Zdeňka	LDC2006T01
Radova, Vlasta	LDC2004S01
Psutka, Josef	LDC2004S01
Muller, Ludek	LDC2004S01
Byrne, William	LDC2004S01
Psutka, J.V.	LDC2004S01
Ircing, Pavel	LDC2004S01
Matousek, Jindrich	LDC2004S01
Janin, Adam	LDC2004S02
Edwards, Jane	LDC2004S02
Ellis, Dan	LDC2004S02
Gelbart, David	LDC2004S02
Morgan, Nelson	LDC2004S02
Peskin, Barbara	LDC2004S02
Pfau, Thilo	LDC2004S02
Shriberg, Elizabeth	LDC2004S02
Stolcke, Andreas	LDC2004S02
Wooters, Chuck	LDC2004S02
Martin, Alvin	LDC2004S04
Przybocki, Mark	LDC2004S04
Burger, Susanne	LDC2004S05
MacLaren, Victoria	LDC2004S05
Waibel, Alex	LDC2004S05
Graff, David	LDC2004S07
Walker, Kevin	LDC2004S07
Miller, David	LDC2004S07
Strassel, Stephanie	LDC2004S08
Walker, Christopher	LDC2004S08
Lee, Haejoong	LDC2004S08
Garofolo, John S.	LDC2004S09
Michel, Martial	LDC2004S09
Stanford, Vincent M.	LDC2004S09
Tabassi, Elham	LDC2004S09
Fiscus, Jonathan G.	LDC2004S09
Laprun, Christophe D.	LDC2004S09
Pratz, Nicolas	LDC2004S09
Lard, Jerome	LDC2004S09
Du Bois, John W.	LDC2004S10
Englebretson, Robert	LDC2004S10
Garofolo, John S.	LDC2004S11
Fiscus, Jonathan G.	LDC2004S11
Le, Audrey	LDC2004S11
Seyfarth, Robert M.	LDC2004S12
Cheney, Dorothy L.	LDC2004S12
NIST Multimodal Information Group	LDC2012S01
NIST Multimodal Information Group	LDC2011S05
NIST Multimodal Information Group	LDC2011S06
Cieri, Christopher	LDC2004S13
Graff, David	LDC2004S13
Kimball, Owen	LDC2004S13
Miller, Dave	LDC2004S13
Walker, Kevin	LDC2004S13
Radova, Vlasta	LDC2004T01
Psutka, Josef	LDC2004T01
Muller, Ludek	LDC2004T01
Byrne, William	LDC2004T01
Psutka, J.V.	LDC2004T01
Ircing, Pavel	LDC2004T01
Matousek, Jindrich	LDC2004T01
Maamouri, Mohamed	LDC2004T02
Bies, Ann	LDC2004T02
Buckwalter, Tim	LDC2004T02
