olac	olac - dc:language	olac - dcterms:language	olac - dc:identifier
"
      "	English	eng	LDC2008T23
"
      "	English	eng	LDC2008T24
"
      "	English	eng	LDC2008T25
"
      "	English	eng	LDC2009S01
"
      "	English	eng	LDC2008S09
"
      "	English	eng	LDC2009T09
"
      "	Baharna Arabic	abv	LDC2009T09
"
      "	Arabic	ara	LDC2009T09
"
      "	English	eng	LDC2009T01
"
      "	English	eng	LDC2009T02
"
      "	Mandarin Chinese	cmn	LDC2009T02
"
      "	English	eng	LDC2009V01
"
      "	English	eng	LDC2009T03
"
      "	Standard Arabic	arb	LDC2009T03
"
      "	Arabic	ara	LDC2009T03
"
      "	English	eng	LDC2009T04
"
      "	English	eng	LDC2009T05
"
      "	Standard Arabic	arb	LDC2009T05
"
      "	Arabic	ara	LDC2009T05
"
      "	Japanese	jpn	LDC2009T08
"
      "	English	eng	LDC2009T06
"
      "	Mandarin Chinese	cmn	LDC2009T06
"
      "	English	eng	LDC2009T07
"
      "	Mandarin Chinese	cmn	LDC2009T07
"
      "	Standard Arabic	arb	LDC2009T07
"
      "	Arabic	ara	LDC2009T07
"
      "	English	eng	LDC2009T10
"
      "	Standard Arabic	arb	LDC2009T10
"
      "	Arabic	ara	LDC2009T10
"
      "	English	eng	LDC2009T11
"
      "	Mandarin Chinese	cmn	LDC2009T11
"
      "	Standard Arabic	arb	LDC2009T11
"
      "	Arabic	ara	LDC2009T11
"
      "	Czech	ces	LDC2009S02
"
      "	English	eng	LDC2009T12
"
      "	Tamil	tam	LDC2009L01
"
      "	English	eng	LDC2009L01
"
      "	English	eng	LDC2009T13
"
      "	Czech	ces	LDC2009T20
"
      "	Mandarin Chinese	cmn	LDC2009T14
"
      "	Chinese	zho	LDC2009T14
"
      "	English	eng	LDC2009T15
"
      "	Mandarin Chinese	cmn	LDC2009T15
"
      "	Chinese	zho	LDC2009T15
"
      "	Spanish	spa	LDC2009T21
"
      "	English	eng	LDC2009T22
"
      "	Standard Arabic	arb	LDC2009T22
"
      "	Arabic	ara	LDC2009T22
"
      "	English	eng	LDC2009T23
"
      "	English	eng	LDC2009S03
"
      "	English	eng	LDC2009T24
"
      "	Mandarin Chinese	cmn	LDC2009T24
"
      "	Standard Arabic	arb	LDC2009T24
"
      "	Chinese	zho	LDC2009T24
"
      "	Arabic	ara	LDC2009T24
"
      "	Swedish	swe	LDC2009T25
"
      "	Spanish	spa	LDC2009T25
"
      "	Romanian	ron	LDC2009T25
"
      "	Portuguese	por	LDC2009T25
"
      "	Polish	pol	LDC2009T25
"
      "	Dutch	nld	LDC2009T25
"
      "	Italian	ita	LDC2009T25
"
      "	French	fra	LDC2009T25
"
      "	German	deu	LDC2009T25
"
      "	Czech	ces	LDC2009T25
"
      "	English	eng	LDC2009T26
"
      "	Mandarin Chinese	cmn	LDC2009T27
"
      "	French	fra	LDC2009T28
"
      "	Yue Chinese	yue	LDC2009S04
"
      "	Vietnamese	vie	LDC2009S04
"
      "	Thai	tha	LDC2009S04
"
      "	Tamil	tam	LDC2009S04
"
      "	Spanish	spa	LDC2009S04
"
      "	Russian	rus	LDC2009S04
"
      "	Korean	kor	LDC2009S04
"
      "	Japanese	jpn	LDC2009S04
"
      "	Hindi	hin	LDC2009S04
"
      "	Persian	fas	LDC2009S04
"
      "	English	eng	LDC2009S04
"
      "	German	deu	LDC2009S04
"
      "	Mandarin Chinese	cmn	LDC2009S04
"
      "	Bengali	ben	LDC2009S04
"
      "	Standard Arabic	arb	LDC2009S04
"
      "	Dari	prs	LDC2009S04
"
      "	Iranian Persian	pes	LDC2009S04
"
      "	Arabic	ara	LDC2009S04
"
      "	Yue Chinese	yue	LDC2009S05
"
      "	Wu Chinese	wuu	LDC2009S05
"
      "	Urdu	urd	LDC2009S05
"
      "	Thai	tha	LDC2009S05
"
      "	Tamil	tam	LDC2009S05
"
      "	Spanish	spa	LDC2009S05
"
      "	Russian	rus	LDC2009S05
"
      "	Min Nan Chinese	nan	LDC2009S05
"
      "	Mandarin Chinese	cmn	LDC2009S05
"
      "	Bengali	ben	LDC2009S05
"
      "	Egyptian Arabic	arz	LDC2009S05
"
      "	English	eng	LDC2009T29
"
      "	Standard Arabic	arb	LDC2009T30
"
      "	Arabic	ara	LDC2009T30
"
      "	Urdu	urd	LDC2010T01
"
      "	Mandarin Chinese	cmn	LDC2010T01
"
      "	Standard Arabic	arb	LDC2010T01
"
      "	English	eng	LDC2010T01
"
      "	Chinese	zho	LDC2010T01
"
      "	Arabic	ara	LDC2010T01
"
      "	Czech	ces	LDC2010T02
"
      "	English	eng	LDC2010T05
"
      "	English	eng	LDC2010T03
"
      "	Mandarin Chinese	cmn	LDC2010T03
"
      "	Chinese	zho	LDC2010T03
"
      "	Spanish	spa	LDC2010T04
"
      "	Spanish	spa	LDC2010S01
"
      "	Mandarin Chinese	cmn	LDC2010T09
"
      "	Mandarin Chinese	cmn	LDC2010T06
"
      "	English	eng	LDC2010S02
"
      "	Mandarin Chinese	cmn	LDC2010T07
"
      "	English	eng	LDC2010S03
"
      "	English	eng	LDC2010T10
"
      "	Mandarin Chinese	cmn	LDC2010T10
"
      "	Standard Arabic	arb	LDC2010T10
"
      "	Arabic	ara	LDC2010T10
"
      "	English	eng	LDC2010T11
"
      "	Mandarin Chinese	cmn	LDC2010T11
"
      "	Standard Arabic	arb	LDC2010T11
"
      "	Arabic	ara	LDC2010T11
"
      "	Mandarin Chinese	cmn	LDC2010T12
"
      "	Standard Arabic	arb	LDC2010T12
"
      "	Arabic	ara	LDC2010T12
"
      "	English	eng	LDC2010V01
"
      "	Standard Arabic	arb	LDC2010L01
"
      "	Arabic	ara	LDC2010L01
"
      "	Standard Arabic	arb	LDC2010T13
"
      "	Arabic	ara	LDC2010T13
"
      "	English	eng	LDC2010V02
"
      "	Mandarin Chinese	cmn	LDC2010V02
"
      "	Arabic	ara	LDC2010V02
"
      "	Chinese	zho	LDC2010V02
"
      "	Mandarin Chinese	cmn	LDC2010T14
"
      "	Standard Arabic	arb	LDC2010T14
"
      "	Arabic	ara	LDC2010T14
"
      "	Yue Chinese	yue	LDC2010S07
"
      "	Vietnamese	vie	LDC2010S07
"
      "	Urdu	urd	LDC2010S07
"
      "	Tamil	tam	LDC2010S07
"
      "	Russian	rus	LDC2010S07
"
      "	Korean	kor	LDC2010S07
"
      "	Japanese	jpn	LDC2010S07
"
      "	Hindi	hin	LDC2010S07
"
      "	Persian	fas	LDC2010S07
"
      "	Mandarin Chinese	cmn	LDC2010S07
"
      "	North Levantine Arabic	apc	LDC2010S07
"
      "	South Levantine Arabic	ajp	LDC2010S07
"
      "	Gulf Arabic	afb	LDC2010S07
"
      "	Dari	prs	LDC2010S07
"
      "	Iranian Persian	pes	LDC2010S07
"
      "	English	eng	LDC2010T15
"
      "	Bengali	ben	LDC2010T16
"
      "	Mandarin Chinese	cmn	LDC2010T17
"
      "	Arabic	ara	LDC2010T17
"
      "	Chinese	zho	LDC2010T17
"
      "	Korean	kor	LDC2010T19
"
      "	English	eng	LDC2010T18
"
      "	English	eng	LDC93S1W
"
      "	Urdu	urd	LDC2010T21
"
      "	English	eng	LDC2010T21
"
      "	Mandarin Chinese	cmn	LDC2010T21
"
      "	Arabic	ara	LDC2010T21
"
      "	Chinese	zho	LDC2010T21
"
      "	Urdu	urd	LDC2010T23
"
      "	Arabic	ara	LDC2010T23
"
      "	Hindi	hin	LDC2010T24
"
      "	English	eng	LDC2010T22
"
      "	English	eng	LDC2011T01
"
      "	English	eng	LDC2011T02
"
      "	English	eng	LDC2011T03
"
      "	Mandarin Chinese	cmn	LDC2011T03
"
      "	Arabic	ara	LDC2011T03
"
      "	Chinese	zho	LDC2011T03
"
      "	Sanskrit	san	LDC2011T04
"
      "	Mandarin Chinese	cmn	LDC2011T05
"
      "	Arabic	ara	LDC2011T05
"
      "	Chinese	zho	LDC2011T05
