Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Goyal, Megh Raj	n82033477		Goyal, Megh Raj	n82033477	n82033477	1	Goyal, Megh Raj			Person		http://example.org/6657845#Agent700-29	33336511
Henry, Robert J			Henry, Robert J				Henry, Robert J			Person		http://example.org/6657846#Agent700-30	
Kole, Chittaranjan	nb2006026533		Kole, Chittaranjan	nb2006026533	nb2006026533	0.9473684210526315	Kole, Chittaranjan			Person		http://example.org/6657846#Agent700-31	464144783131237622369
Strezov, Vladimir	n2014002096		Strezov, Vladimir	n2014002096	n2014002096	0.9444444444444444	Strezov, Vladimir			Person		http://example.org/6657848#Agent700-29	86144782954080720652
Evans, Tim J	n2014002097		Evans, Tim J	n2014002097	n2014002097	0.9230769230769231	Evans, Tim J			Person		http://example.org/6657848#Agent700-30	307423500
Matinlinna, Jukka P	n2010039154		Matinlinna, Jukka P	n2010039154	n2010039154	0.95	Matinlinna, Jukka P			Person		http://example.org/6657851#Agent700-27	121843326
Xu, Li D			Xu, Li D				Xu, Li D			Person		http://example.org/6657859#Agent100-14	
Morin, Jean-Frédéric	n2013073576		Morin, Jean-Frédéric	n2013073576	n2013073576	1	Morin, Jean-Frédéric			Person		http://example.org/6658086#Agent700-36	224114018
Orsini, Amandine	n2014010944		Orsini, Amandine	n2014010944	n2014010944	0.9411764705882353	Orsini, Amandine			Person		http://example.org/6658086#Agent700-37	4462149368889585980006
Redmon, David	nr2005006811		Redmon, David	nr2005006811	nr2005006811	1	Redmon, David			Person		http://example.org/6659156#Agent100-23	54104184
Logie, Robert H	n91037876		Logie, Robert H	n91037876	n91037876	0.9375	Logie, Robert H			Person		http://example.org/6659167#Agent700-34	14848810
Morris, Robin, 1958- 	n93802361		Morris, Robin, 1958- 	n93802361	n93802361	0.8333333333333334	Morris, Robin, 1958- 			Person		http://example.org/6659167#Agent700-35	84867195
