Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4
D'Elia, Alberto (Alberto Leo)	no2012137028	100	D'Elia, Alberto (Alberto Leo)	no2012137028	no2012137028	1	D'Elia, Alberto (Alberto Leo)			Person		http://example.org/1092786#Agent100-10
Russo, Anthony J., -1940	no97024107	100	Russo, Anthony J., -1940	no97024107	no97024107	1	Russo, Anthony J., -1940			Person		http://example.org/10141#Agent100-11
Riley, James Whitcomb, 1849-1916	n79089084	100	Riley, James Whitcomb, 1849-1916	n79089084	n79089084	1	Riley, James Whitcomb, 1849-1916			Person		http://example.org/10141#Agent600-20
Russo, Dorothy R. (Dorothy Ritter), 1900-	n84803603	100	Russo, Dorothy R. (Dorothy Ritter), 1900-	n84803603	n84803603	1	Russo, Dorothy R. (Dorothy Ritter), 1900- 			Person		http://example.org/10141#Agent700-21
Merriam, Alan P., 1923-1980	n50035978	100	Merriam, Alan P., 1923-1980	n50035978	n50035978	1	Merriam, Alan P., 1923-1980			Person		http://example.org/1081953#Agent100-13
Doran, Jennie Elliot			Doran, Jennie Elliot				Doran, Jennie Elliot			Person		http://example.org/1013902#Agent100-9
Muir, John, 1838-1914	n79078692	100	Muir, John, 1838-1914	n79078692	n79078692	0.9545454545454546	Muir, John, 1838-1914			Person		http://example.org/1013902#Agent600-19
Bradley, Cornelius Beach, 1843-1936	nr2001003247	100	Bradley, Cornelius Beach, 1843-1936	nr2001003247	nr2001003247	1	Bradley, Cornelius Beach, 1843-1936			Person		http://example.org/1013902#Agent700-20
Sierra Club	n79027101	100	Sierra Club		n79027101		Sierra Club	n79027101	0.9090909090909091	Organization		http://example.org/1013902#Agent710-21
Gropp, Arthur E., 1902-1997	n79060524	100	Gropp, Arthur E., 1902-1997	n79060524	n79060524	1	Gropp, Arthur E., 1902-1997			Person		http://example.org/109136#Agent100-10
Tollers, Vincent L.	n88183517	100	Tollers, Vincent L	n88183517	n88183517	0.9473684210526315	Tollers, Vincent L			Person		http://example.org/1056688#Agent100-12
Arnold, Matthew, 1822-1888	n79045174	100	Arnold, Matthew, 1822-1888	n79045174	n79045174	0.9629629629629629	Arnold, Matthew, 1822-1888			Person		http://example.org/1056688#Agent600-20
Munro, William Bennett, 1875-1957	n82090890	100	Munro, William Bennett, 1875-1957	n82090890	n82090890	1	Munro, William Bennett, 1875-1957			Person		http://example.org/1052783#Agent100-11
Gushue, W. J			Gushue, W. J				Gushue, W. J			Person		http://example.org/107737#Agent100-10
Singh, A.	n84135206	100	Singh, A				Singh, A			Person		http://example.org/107737#Agent700-19
Ward, Jack H			Ward, Jack H				Ward, Jack H			Person		http://example.org/1099410#Agent100-12
Gerber, Douglas E., 1933-	n83068664	86	Gerber, Douglas E., 1933-				Gerber, Douglas E., 1933-			Person		http://example.org/1091354#Agent100-13
Pindar	n79138879	100	Pindar				Pindar			Person		http://example.org/1091354#Agent600-22
