Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Bernáldez, Andrés, -1513?	n94057037	95	Bernáldez, Andrés, -1513?	n94057037	n94057037	0.8518518519	Bernáldez, Andrés, -1513?			Person		http://example.org/1066699#Agent100-12	
Ferdinand V, King of Spain, 1452-1516	n50002750	100	Ferdinand V, King of Spain, 1452-1516	n50002750	n50002750	1	Ferdinand V, King of Spain, 1452-1516			Person		http://example.org/1066699#Agent600-25	
Isabella I, Queen of Spain, 1451-1504	n50081472	100	Isabella I, Queen of Spain, 1451-1504	n50081472	n50081472	1	Isabella I, Queen of Spain, 1451-1504			Person		http://example.org/1066699#Agent600-26	
Gabriel y Ruíz de Apodaca, Fernando de, 1828-1888	n2004063124	99	Gabriel y Ruíz de Apodaca, Fernando de, 1828-1888	n2004063124	n2004063124	0.9795918367	Gabriel y Ruíz de Apodaca, Fernando de, 1828-1888			Person		http://example.org/1066699#Agent700-28	
Sociedad de Bibliófilos Andaluces	n83032237	98	Sociedad de Bibliófilos Andaluces		n83032237		Sociedad de Bibliófilos Andaluces	n83032237	0.8823529412	Organization		http://example.org/1066699#Agent710-29	
Rodriguez Gomes, Juana J. G. de			Rodriguez Gomes, Juana J. G. de				Rodriguez Gomes, Juana J. G. de			Person		http://example.org/1083153#Agent100-10	
Echevarría, Néstor	n2005052835	94	Echevarría, Néstor	n2005052835	n2005052835	1	Echevarría, Néstor			Person		http://example.org/1083153#Agent700-20	
García Venero, Maximiano	n81021873	98	García Venero, Maximiano	n81021873	n81021873	1	García Venero, Maximiano			Person		http://example.org/1050913#Agent100-11	
Puentes, Milton	n88076615	100	Puentes, Milton	n88076615	n88076615	1	Puentes, Milton			Person		http://example.org/1063860#Agent100-11	
Partido Liberal (Colombia)	n50082351	100	Partido Liberal (Colombia)		n50082351		Partido Liberal (Colombia)	n50082351	1	Organization		http://example.org/1063860#Agent610-20	
Elías de Tejada y Spínola, Francisco, 1917-	n82086203	92	Elías de Tejada y Spínola, Francisco, 1917-	n82086203	n82086203	0.8367346939	Elías de Tejada y Spínola, Francisco, 1917-			Person		http://example.org/1039094#Agent100-11	
Percopo, Gabriella	nb2010008593	100	Percopo, Gabriella	nb2010008593	nb2010008593	0.9444444444	Percopo, Gabriella			Person		http://example.org/1039094#Agent700-21	
Marmol Carvajal, Luis del, active 1575			Marmol Carvajal, Luis del, active 1575				Marmol Carvajal, Luis del, active 1575			Person		http://example.org/1006014#Agent100-9	
Tubino, Francisco María, 1833-1888	n2001026155	98	Tubino, Francisco María, 1833-1888	n2001026155	n2001026155	1	Tubino, Francisco María, 1833-1888			Person		http://example.org/1093864#Agent100-9	
Cortés, Hernán, 1485-1547	n80133120	95	Cortés, Hernán, 1485-1547	n80133120	n80133120	0.9615384615	Cortés, Hernán, 1485-1547			Person		http://example.org/1006028#Agent100-9	
Lorenzana, Francisco Antonio, 1722-1804	n83020823	100	Lorenzana, Francisco Antonio, 1722-1804	n83020823	n83020823	1	Lorenzana, Francisco Antonio, 1722-1804			Person		http://example.org/1006028#Agent700-20	
Colonne, Guido delle, 13th century	n50033870	90	Colonne, Guido delle, 13th century	n50033870	n50033870	0.8292682927	Colonne, Guido delle, 13th century			Person		http://example.org/1010334#Agent100-12	
Meek, Mary Elizabeth, 1924-			Meek, Mary Elizabeth, 1924-				Meek, Mary Elizabeth, 1924-			Person		http://example.org/1010334#Agent700-21	
Muñoz Camargo, Diego, approximately 1529-1599	n85214085	99	Muñoz Camargo, Diego, approximately 1529-1599	n85214085	n85214085	0.9565217391	Muñoz Camargo, Diego, approximately 1529-1599			Person		http://example.org/1066539#Agent100-10	
Chavero, Alfredo, 1841-1906	n80145804	100	Chavero, Alfredo, 1841-1906	n80145804	n80145804	1	Chavero, Alfredo, 1841-1906			Person		http://example.org/1066539#Agent700-22	
Universidad Nacional Autónoma de México. Instituto de Investigaciones Históricas	n81039841	98	Universidad Nacional Autónoma de México. Instituto de Investigaciones Históricas		n81039841		Universidad Nacional Autónoma de México. Instituto de Investigaciones Históricas	n81039841	1	Organization		http://example.org/108189#Agent110-11	
León Portilla, Miguel	n80063275	97	León Portilla, Miguel				León Portilla, Miguel			Person		http://example.org/108189#Agent700-24	
Mendieta, Gerónimo de, -1604			Mendieta, Gerónimo de, -1604				Mendieta, Gerónimo de, -1604			Person		http://example.org/1029936#Agent100-11	
Franciscans	n79015671	100	Franciscans		n79015671		Franciscans	n79015671	1	Organization		http://example.org/1029936#Agent610-21	
Solano y Pérez-Lila, Francisco			Solano y Pérez-Lila, Francisco				Solano y Pérez-Lila, Francisco			Person		http://example.org/1029936#Agent700-24	
Bidart Campos, Germán José	n82005118	96	Bidart Campos, Germán José	n82005118	n82005118	1	Bidart Campos, Germán José			Person		http://example.org/1046083#Agent100-11	
Tzetzes, John, 12th century	n82070470	88	Tzetzes, John, 12th century				Tzetzes, John, 12th century			Person		http://example.org/1091080#Agent100-10	
Leone, Pietro Luigi	n93004291	100	Leone, Pietro Luigi	n93004291	n93004291	0.95	Leone, Pietro Luigi			Person		http://example.org/1091080#Agent700-19	
Naples (Italy) Università. Istituto di filologia classica			Naples (Italy) Università. Istituto di filologia classica				Naples (Italy) Università. Istituto di filologia classica			Jurisdiction		http://example.org/1091080#Agent810-20	
González Cosía Díaz, Arturo			González Cosía Díaz, Arturo				González Cosía Díaz, Arturo			Person		http://example.org/1072651#Agent100-11	
Universidad Nacional de México	n82058379	98	Universidad Nacional de México				Universidad Nacional de México			Organization		http://example.org/1072651#Agent610-20	
Heliodorus, of Emesa	n80089698	100	Heliodorus, of Emesa				Heliodorus, of Emesa			Person		http://example.org/1090475#Agent100-10	
Mena, Fernando de, 16th century			Mena, Fernando de, 16th century				Mena, Fernando de, 16th century			Person		http://example.org/1090475#Agent700-19	
López Estrada, Francisco	n80158691	98	López Estrada, Francisco	n80158691	n80158691	1	López Estrada, Francisco			Person		http://example.org/1090475#Agent700-20	
Taracena, Alfonso, 1897?-	n80159707	100	Taracena, Alfonso, 1897?-	n80159707	n80159707	1	Taracena, Alfonso, 1897?-			Person		http://example.org/1024605#Agent100-12	
Wąsik, Wiktor			Wąsik, Wiktor				Wąsik, Wiktor			Person		http://example.org/1080549#Agent100-10	
Boileau, Jacques, 1635-1716	n85112064	100	Boileau, Jacques, 1635-1716	n85112064	n85112064	0.9642857143	Boileau, Jacques, 1635-1716			Person		http://example.org/1036472#Agent100-10	
Fernández de Piedrahita, Lucas, 1624-1688	n88041629	99	Fernández de Piedrahita, Lucas, 1624-1688	n88041629	n88041629	1	Fernández de Piedrahita, Lucas, 1624-1688			Person		http://example.org/1006024#Agent100-10	
Robertus Remensis, monk, 12th century			Robertus Remensis, monk, 12th century				Robertus Remensis, monk, 12th century			Person		http://example.org/1025871#Agent100-12	
Godfrey, of Bouillon, approximately 1060-1100	n50033807	100	Godfrey, of Bouillon, approximately 1060-1100	n50033807	n50033807	1	Godfrey, of Bouillon, approximately 1060-1100			Person		http://example.org/1025871#Agent600-23	
Haupt, Barbara	n85284684	100	Haupt, Barbara	n85284684	n85284684	1	Haupt, Barbara			Person		http://example.org/1025871#Agent700-25	
Wright, James, 1643-1713	n50028671	100	Wright, James, 1643-1713	n50028671	n50028671	1	Wright, James, 1643-1713			Person		http://example.org/1028197#Agent100-12	
Sánchez Viamonte, Carlos, 1892-1972	no91026500	98	Sánchez Viamonte, Carlos, 1892-1972	no91026500	no91026500	0.8918918919	Sánchez Viamonte, Carlos, 1892-1972			Person		http://example.org/1046094#Agent100-11	
Stefanowska, Zofia	n81048708	100	Stefanowska, Zofia	n81048708	n81048708	1	Stefanowska, Zofia			Person		http://example.org/1097321#Agent100-10	
