Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Baltrušaitis, Jurgis, 1873-1944	n84068152	98	Baltrušaitis, Jurgis, 1873-1944	n84068152	n84068152	1	Baltrušaitis, Jurgis, 1873-1944			Person		http://example.org/1098519#Agent100-10	
Z︠H︡urakhovych, Semen, 1907-	n82277574	100	Z͡Hurakhovych, Semen, 1907-	n82277574	n82277574	0.9285714286	Z͡Hurakhovych, Semen, 1907-			Person		http://example.org/1095728#Agent100-10	
Horváth, Ödön von, 1901-1938	n50030757	82	Horváth, Ödön von, 1901-1938	n50030757	n50030757	0.9655172414	Horváth, Ödön von, 1901-1938			Person		http://example.org/1001767#Agent100-10	
Horváth, Ödön von, 1901-1938	n50030757	82	Horváth, Ödön von, 1901-1938	n50030757	n50030757	0.9655172414	Horváth, Ödön von, 1901-1938			Person		http://example.org/1001767#Agent800-21	
Salmen, Walter, 1926-2013	n81082853	100	Salmen, Walter, 1926-2013	n81082853	n81082853	1	Salmen, Walter, 1926-2013			Person		http://example.org/1082083#Agent100-10	
Liebert, Arthur, 1878-1946	no2002049549	100	Liebert, Arthur, 1878-1946	no2002049549	no2002049549	1	Liebert, Arthur, 1878-1946			Person		http://example.org/1042546#Agent100-9	
Nietzsche, Friedrich Wilhelm, 1844-1900	n79021132	100	Nietzsche, Friedrich Wilhelm, 1844-1900	n79021132	n79021132	1	Nietzsche, Friedrich Wilhelm, 1844-1900			Person		http://example.org/1042546#Agent600-18	
Nolte, Ernst, 1923-	n82024340	86	Nolte, Ernst, 1923-	n82024340	n82024340	0.8260869565	Nolte, Ernst, 1923-			Person		http://example.org/1042364#Agent100-10	
Jedicka, Gotthard, 1899-			Jedicka, Gotthard, 1899-				Jedicka, Gotthard, 1899-			Person		http://example.org/1087718#Agent100-11	
Germany (Federal Republic, 1949- ) Bundesverfassungsgericht			Germany (Federal Republic, 1949- ) Bundesverfassungsgericht				Germany (Federal Republic, 1949- ) Bundesverfassungsgericht			Person		http://example.org/1007943#Agent100-11	
Zehner, Günter			Zehner, Günter				Zehner, Günter			Person		http://example.org/1007943#Agent700-20	
Bonati Richner, Silvia	no2005010929	100	Bonati Richner, Silvia	no2005010929	no2005010929	0.9545454545	Bonati Richner, Silvia			Person		http://example.org/1009095#Agent100-10	
Droste-Hülshoff, Annette von, 1797-1848	n50066821	99	Droste-Hülshoff, Annette von, 1797-1848	n50066821	n50066821	0.975	Droste-Hülshoff, Annette von, 1797-1848			Person		http://example.org/1009095#Agent600-20	
Pohlmann, Wolf-Rüdiger			Pohlmann, Wolf-Rüdiger				Pohlmann, Wolf-Rüdiger			Person		http://example.org/1020976#Agent100-11	
