Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Garrido, Felipe	n79074694	100	Garrido, Felipe	n79074694	n79074694	1	Garrido, Felipe			Person		http://example.org/1061027#Agent100-11	
Casseus, Maurice A			Casseus, Maurice A				Casseus, Maurice A			Person		http://example.org/1008443#Agent100-9	
Gartenberg, Egon	n85139637	100	Gartenberg, Egon	n85139637	n85139637	1	Gartenberg, Egon			Person		http://example.org/1074270#Agent100-15	
Ibargoyen Islas, Saúl	n87141595	97	Ibargoyen Islas, Saúl	n87141595	n87141595	1	Ibargoyen Islas, Saúl			Person		http://example.org/1025732#Agent100-9	
Huidobro, Vicente, 1893-1948	n50046033	100	Huidobro, Vicente, 1893-1948	n50046033	n50046033	1	Huidobro, Vicente, 1893-1948			Person		http://example.org/1064122#Agent100-10	
Fraysse, Jeanne			Fraysse, Jeanne				Fraysse, Jeanne			Person		http://example.org/1006266#Agent100-11	
Fraysse, Camille			Fraysse, Camille				Fraysse, Camille			Person		http://example.org/1006266#Agent700-21	
Richer, of Saint-Rémy, 10th century			Richer, of Saint-Rémy, 10th century				Richer, of Saint-Rémy, 10th century			Person		http://example.org/1027793#Agent100-12	
Dürer, Albrecht, 1471-1528	n79118011	98	Dürer, Albrecht, 1471-1528				Dürer, Albrecht, 1471-1528			Person		http://example.org/1084716#Agent100-10	
Herzogenberg, Heinrich von, 1843-1900	n83073216	100	Herzogenberg, Heinrich von, 1843-1900	n83073216	n83073216	0.9473684211	Herzogenberg, Heinrich von, 1843-1900			Person		http://example.org/1014671#Agent100-10	
Hayn, Hugo, 1843-1923	n90690104	100	Hayn, Hugo, 1843-1923	n90690104	n90690104	1	Hayn, Hugo, 1843-1923			Person		http://example.org/1028702#Agent100-10	
Klostermayer, Matthias, 1736-1771	n93042963	97	Klostermeyer, Matthias, 1736-1771	n93042963	n93042963	0.9696969697	Klostermeyer, Matthias, 1736-1771			Person		http://example.org/1028702#Agent600-18	
Cagliostro, Alessandro, conte di, 1743-1795	n50040368	100	Cagliostro, Alessandro, conte di, 1743-1795	n50040368	n50040368	0.9772727273	Cagliostro, Alessandro, conte di, 1743-1795			Person		http://example.org/1028702#Agent600-19	
Sächsische Landesbibliothek (Dresden, Germany)	n50065756	99	Sächsische Landesbibliothek (Dresden, Germany)		n50065756		Sächsische Landesbibliothek (Dresden, Germany)	n50065756	1	Organization		http://example.org/1028702#Agent710-24	
Hering, Ewald, 1834-1918	n86800149	100	Hering, Ewald, 1834-1918	n86800149	n86800149	1	Hering, Ewald, 1834-1918			Person		http://example.org/1020649#Agent100-9	
Fechner, Heinrich, 1845-1909	nr2002040595	100	Fechner, Heinrich, 1845-1909	nr2002040595	nr2002040595	1	Fechner, Heinrich, 1845-1909			Person		http://example.org/1028154#Agent100-11	
Ickelschamer, Valentin			Ickelschamer, Valentin				Ickelschamer, Valentin			Person		http://example.org/1028154#Agent600-21	
