Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	blank
Cohn, Jack			Cohn, Jack				Cohn, Jack			Person		http://example.org/1062571#Agent700-24	
Bluhm, Donna L.	no2013060829	100	Bluhm, Donna L	no2013060829	no2013060829	0.9333333333	Bluhm, Donna L			Person		http://example.org/1071625#Agent100-11	
Cleugh, Mary Frances			Cleugh, Mary Frances				Cleugh, Mary Frances			Person		http://example.org/1072347#Agent100-10	
Featherstone, William B. (William Bland), 1900-	no2008156960	100	Featherstone, William B. (William Bland), 1900-	no2008156960	no2008156960	1	Featherstone, William B. (William Bland), 1900-			Person		http://example.org/1071651#Agent100-10	
Featherstone, William B. (William Bland), 1900-	no2008156960	100	Featherstone, William B. (William Bland), 1900-	no2008156960	no2008156960	1	Featherstone, William B. (William Bland), 1900-			Person		http://example.org/1071653#Agent100-10	
Knapp, Royce H. (Royce Henderson), 1913-	no2001056778	100	Knapp, Royce H. (Royce Henderson), 1913-	no2001056778	no2001056778	1	Knapp, Royce H. (Royce Henderson), 1913-			Person		http://example.org/1044294#Agent100-10	
Nebraska. University. Extension Division			Nebraska. University. Extension Division				Nebraska. University. Extension Division			Jurisdiction		http://example.org/1044294#Agent810-21	
Nebraska. University. Extension Division			Nebraska. University. Extension Division				Nebraska. University. Extension Division			Jurisdiction		http://example.org/1044294#Agent810-22	
Donahue, George T.	no2003129268	100	Donahue, George T	no2003129268	no2003129268	0.9444444444	Donahue, George T			Person		http://example.org/1072414#Agent100-12	
Nichtern, Sol, 1920-	no2003129269	100	Nichtern, Sol, 1920-	no2003129269	no2003129269	1	Nichtern, Sol, 1920- 			Person		http://example.org/1072414#Agent700-22	
Rounds, Susan	no2003041185	100	Rounds, Susan	no2003041185	no2003041185	1	Rounds, Susan			Person		http://example.org/1079333#Agent100-13	
Logan, Lillian M.	n50039515	100	Logan, Lillian M	n50039515	n50039515	0.9411764706	Logan, Lillian M			Person		http://example.org/1065118#Agent100-12	
Levenson, William B.	no00007646	100	Levenson, William B	no00007646	no00007646	0.95	Levenson, William B			Person		http://example.org/1062554#Agent100-10	
Levenson, William B.	no00007646	100	Levenson, William B	no00007646	no00007646	0.95	Levenson, William B			Person		http://example.org/1062552#Agent100-10	
